cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
4 Z 10,14,Manuscrit imprimé,François de Neufchâteau,Précis pour François de Neufchâteau contre le sieur Gohier et le sieur Charpit de Courville.,Papier cartonné,Français,"Nancy, Veuve Charlot",_,Précis pour François de Neufchâteau contre le sieur Gohier et le sieur Charpit de Courville.,Correct,Factum 4 Z 10,"Rez-de-chausser, travée 24 (71)"
4 Z 10,15,Manuscrit imprimé,M. Prugnon,Mémoire pour Jean François Lasnière en réponse à celui du sieur Letouzé.,Papier cartonné,Français,"nancy, Leseure",_,Mémoire pour Jean François Lasnière en réponse à celui u sieur Letouzé.,Double correct,Factum 4 Z 10,"Rez-de-chausser, travée 24 (71)"
4 Z 11,1,Manuscrit imprimé,Me Thibault,Factum pour Catherine Durand.,Papier cartonné,Français,"Nancy, Pierre Antoine",_,Factum pour Catherine Durand.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,2,Manuscrit imprimé,M. Rulland,Consultation pour le sieur de Manonville contre le prince de Ligné.,Marron,Français,"Nancy, Jean-Baptiste Cusson",_,Consultation pour le sieur de Manonville contre le prince de Ligné.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,3,Manuscrit imprimé,M. Dubois,Factum pour le comte d'Aspremond contre les comtes de Linanges.,Rose,Français,_,_,Factum pour le comte d'Aspremond contre les comtes de Linanges.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,4,Manuscrit imprimé,Paul Beck,Factum ou exposition simple des cruautés inouïes commises à Strasbourg par le préteur Rroïal Josephn Klinglin.,Papier cartonné,Français,_,_,Factum ou exposition simple des cruautés inouïes commises à Strasbourg par le préteur Rroïal Josephn Klinglin.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,5,Manuscrit imprimé,_,Mémoire pour M. Simon Rollin contre Charles Martel.,Papier cartonné,Français,_,_,Mémoire pour M. Simon Rollin contre Charles Martel.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,6,Manuscrit imprimé,_,Réponses pour le marquis de Marnier au mémoire de M. le comte d'Apremont.,Papier cartonné,Français,_,_,Réponses pour le marquis de Marnier au mémoire de M. le comte d'Apremont.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,7,Manuscrit imprimé,M. Laurent,Mémoire pour Guillaume Desfarge contre la faculté de médecine de Pont à Mousson.,Papier cartonné,Français,_,_,Mémoire pour Guillaume Desfarge contre la faculté de médecine de Pont à Mousson.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,8,Manuscrit imprimé,M. Devaux,Sommaire pour Jean Louis et Jean Durant contre Jean Chambery.,Papier cartonné,Français,_,_,Sommaire pour Jean Louis et Jean Durant contre Jean Chambery.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,9,Manuscrit imprimé,_,Inventaire des pièces que produit Etienne de Clugny contre Louis de Clugny.,Papier cartonné,Français,_,_,Inventaire des pièces que produit Etienne de Clugny contre Louis de Clugny.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,10,Manuscrit imprimé,M. Chassel,Factum pour Jean Nicolas Froment contre frère Charles de Chambré et contre le grand maître de l'ordre de Malthe.,Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,Factum pour Jean Nicolas Froment contre frère Charles de Chambré et contre le grand maître de l'ordre de Malthe.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,11,Manuscrit imprimé,Me Meon,Factum entre Antoine Guisot contre Jean Nicolas Jennesson.,Papier cartonné,Français,_,_,Factume entre Antoine Guisot contre Jean Nicolas Jennesson.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,12,Manuscrit imprimé,M. d'Offalize,Sommaire du procés pour la dame veuve du sieur de Seichamps contre la dame veuve du sieur de Gellenoncour.,Papier cartonné,Français,_,_,Sommaire du procés pour la dame veuve du sieur de Seichamps contre la dame veuve du sieur de Gellenoncour.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,13,Manuscrit imprimé,M. Serre,Réponses de Jean et Antoine Boucher aux réflexions sommaires des religieux des Carmes de Metz.,Papier cartonné,Français,_,_,Réponses de Jean et Antoine Boucher aux réflexions sommaires des religieux des Carmes de Metz.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,14,Manuscrit imprimé,M. Dordelu,Mémoire pour M. le comte de Rennel contre le sieur Comte de l'Escu.,Papier cartonné,Français,_,_,Mémoire pour M. le comte de Rennel contre le sieur Comte de l'Escu.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,15,Manuscrit imprimé,Me Duhomme,"A nos seigneurs supplient Charles Bagard et Antoine Bagard contre les créanciers de feu Antoine Bagard, le sieur abbé Anthoine.",Papier cartonné,Français,"Nancy, Pierre Antoine",_,"A nos seigneurs supplient Charles Bagard et Antoine Bagard contre les créanciers de feu Antoine Bagard, le sieur abbé Anthoine.",Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,16,Manuscrit imprimé,Me Duhomme,"A nos seigneurs supplient Charles Bagard et Antoine Bagard contre les créanciers de feu Antoine Bagard, le sieur abbé Anthoine.",Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",_,"A nos seigneurs supplient Charles Bagard et Antoine Bagard contre les créanciers de feu Antoine Bagard, le sieur abbé Anthoine.",Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,17,Manuscrit imprimé,M. de Barret,Factum pour Claude Bagard et Christophe Rayel contre M. M. les présidents de Beaufremont et d'Alençon.,Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",_,Factum pour Claude Bagard et Christophe Rayel contre M. M. les présidents de Beaufremont et d'Alençon.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,18,Manuscrit imprimé,M. Ferriet,"Factum pour Michel, comte de Lamezan contre Marguerite de Bermont.",Papier cartonné,Français,_,_,"Factum pour Michel, comte de Lamezan contre Marguerite de Bermont.",Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,19,Manuscrit imprimé,M. de Suzémont,"Factum pour les Doyen, chanoines et chapitre de Ligny contre Ferdinant de Vidange.",Papier cartonné,Français,_,_,"Factum pour les Doyen, chanoines et chapitre de Ligny contre Ferdinant de Vidange.",Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,20,Manuscrit imprimé,_,Factum pour Marguerite Isabelle de Savigny contr Jean-Baptiste Gaston comte de Hautoy.,Papier cartonné,Français,_,_,Factum pour Marguerite Isabelle de Savigny contr Jean-Baptiste Gaston comte de Hautoy.,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,21,Manuscrit imprimé,M. Prottin,Factum pour François Thouvenin contre François Pierrot. ,Papier cartonné,Français,_,_,Factum pour François Thouvenin contre François Pierrot. ,Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,22,Manuscrit imprimé,_,"Factum pour Charles Louis Philippe Wildgroff de Dhaun contre Marie Charlotte, née princesse d'Ostfrise.",Papier cartonné,Français,_,_,"Factum pour Cherles Louis Philippe Wildgroff de Dhaun contre Marie Charlotte, née princesse d'Ostfrise.",Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 11,23,Manuscrit imprimé,_,"Factum pour Christian III et Jean Adolphe Louis, comte de wied contre Nicolas Léopold, comte Sauvage. ",Papier cartonné,Français,_,_,"Factum pour Christian III et Jean Adolphe Louis, comte de wied contre Nicolas Léopold, comte Sauvage. ",Correct,Factum 4 Z 11,"Rez-de-chausser, travée 24 (71)"
4 Z 12,1,Manuscrit imprimé,_,Analyse des titres su sieur Dumesnil.,Papier cartonné,Français,_,_,Analyse des titres su sieur Dumesnil.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,2,Manuscrit imprimé,_,Analyse des titres produits par le comte de Lupcout contre sieur Dumesnil.,Papier cartonné,Français,_,_,Analyse des titres produits par le comte de Lupcout contre sieur Dumesnil.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,3,Manuscrit imprimé,M. Houart,Analyse des nouveaux titres du sieur comte de Lupcourt et du sieur Dumesnil.,Papier cartonné,Français,_,_,Analyse des nouveaux titres du sieur comte de Lupcourt et du sieur Dumesnil.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,4,Manuscrit imprimé,M. Boulay,Mémoire pour Charles François de Bourgogne contre Jean Mampey.,Papier cartonné,Français,"Nancy, C. S. Lamort",24 juin 1785,Mémoire pour Charles François de Bourgogne contre Jean Mampey.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,5,Manuscrit imprimé,_,Mémoire servant de réponse pour Jean François Hennequin contre Charles François de Bourgogne.,Papier cartonné,Français,"Nancy, Veuve Charlot",8 janvier 1787,Mémoire servant de réponse pour Jean François Hennequin contre Charles François de Bourgogne.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,6,Manuscrit imprimé,M. Bexon,Précis pour Charles François de bourgogne contre Scipion Jérome Bexon.,Papier cartonné,Français,_,_,Précis pour Charles François de bourgogne contre Scipion Jérome Bexon.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,7,Manuscrit imprimé,M. de Vigneron de Lozanne,Mémoire pour Charles François de Bougogne contre Jean François Hennequin.,Papier cartonné,Français,"Nancy, C. S. Lamort",1er août 1786,Mémoire pour Charles François de Bougogne contre Jean François Hennequin.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,8,Manuscrit imprimé,_,Justification et ampliation du précis imprimé de ce qui s'est passé à l'occasion de la rédaction des nouveaux règlements de l'église primatiale.,Papier cartonné,Français,"Nancy, Thomas",18 octobre 1760,Justification et ampliation du précis imprimé de ce qui s'est passé à l'occasion de la rédaction des nouveaux règlements de l'église primatiale.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,9,Manuscrit imprimé,_,"Réplique du grand doyen de la primatiale, à la troisième partie du mémoire des opposans.",Papier cartonné,Français,_,25 février 1761,"Réplique du grand doyen de la primatiale, à la troisième partie du mémoire des opposans.",Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,10,Manuscrit imprimé,_,"Réponse au précis intitulé: réplique du grand doyen de la primatiale, pour les sieurs Henry Honoré de Ligniville et François Enest de Lapierre, Pierre Denis Rousseau. ",Papier cartonné,Français,"Nancy, Thomas",25 mai 1761,"Réponse au précis intitulé: réplique du grand doyen de la primatiale, pour les sieurs Henry Honoré de Ligniville et François Enest de Lapierre, Pierre Denis Rousseau. ",Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,11,Manuscrit imprimé,M. Sallet,"Mémoire pour les chanoines de la primatiale de Lorraine contre Jean Boulangé, Antoine Lefèvre.",Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",17 juin 1764,"Mémoire pour les chanoines de la primatiale de Lorraine contre Jean Boulangé, Antoine Lefèvre.",Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,12,Manuscrit imprimé,M. Rouot,Observations sur les mémoires du chapitre de la primatiale.,Papier cartonné,Français,"nancy, Leseure",15 mai 1776,Observations sur les mémoires du chapitre de la primatiale.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,13,Manuscrit imprimé,M. Tranchot,"Actes capitulaires, extraits des registres de l'église primatiale de Lorraine.",Papier cartonné,Français,"Nancy, Thomas",_,"Actes capitulaires, extraits des registres de l'église primatiale de Lorraine.",Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 12,14,Manuscrit imprimé,M. Prugnon,Mémoire pour le sieur abbé de Crèvecoeur contre le chapitre de l'insignee Cathédrale primatiale de Lorraine et le sieur abbé de Moy.,Papier cartonné,Français,"Nancy, C. S. Lamort",_,Mémoire pour le sieur abbé de Crèvecoeur contre le chapitre de l'insignee Cathédrale primatiale de Lorraine et le sieur abbé de Moy.,Correct,Factum 4 Z 12,"Rez-de-chausser, travée 24 (71)"
4 Z 13,1,Manuscrit imprimé,Me Rheyne,"Mémoire pour M. Marc César, baron de Mahuet contre M. Joseph Antoine, baron de Mahuet.",Papier,Français,"Nancy, Pierre Antoine",_,"Mémoire pour M. Marc César, baron de Mahuet contre M. Joseph Antoine, baron de Mahuet.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,2,Manuscrit imprimé,_,Tables raisonnées et démonstratives de la succession de monsieur et de madame de Lupcourt.,Papier,Français,_,_,Tables raisonnées et démonstratives de la succession de monsieur et de madame de Lupcourt.,Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,3,Manuscrit imprimé,M. Michelet de Vatimont,"Mémoire pour Jean Baptiste , baron de Mahuet contre Jacques Marc Antoine, baron de Mahuet.",Papier cartonné,Français,"Nancy, Pierre Antoine",_,"Mémoire pour Jean Baptiste , baron de Mahuet contre Jacques Marc Antoine, baron de Mahuet.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,4,Manuscrit imprimé,M. de Tervenus,Factum pour Jacques Marc Antoine de Mahuet contre Didier Grandidier.,Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,Factum pour Jacques Marc Antoine de Mahuet contre Didier Grandidier.,Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,5,Manuscrit imprimé,M. de Tervenus,Factum pour Lamberte Constance Dufaing contre Jacques Marc Antoine de Mahuet. ,Papier cartonné,Français,"Nancy, Pierre Antoine",_,Factum pour Lamberte Constance Dufaing contre Jacques Marc Antoine de Mahuet. ,Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,6,Manuscrit imprimé,M. de Tervenus,"A son altesse royale supplie très humblement Charles Ignace, baron de Mahuet.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"A son altesse royale supplie très humblement Charles Ignace, baron de Mahuet.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,7,Manuscrit imprimé,M. Houart,"A son altesse royale supplie Charles Ignace, baron de Mahuet contre Gabriel Dumesnil et les sieurs Darnolet, de Beaufort et Dubois.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"A son altesse royale supplie Charles Ignace, baron de Mahuet contre Gabriel Dumesnil et les sieurs Darnolet, de Beaufort et Dubois.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,8,Manuscrit imprimé,M. Simon,"A son altesse Royale supplie Gabriel Dumesnil contre Charles Ignace, baron de Mahuet et contre les sieurs Darnollet, de Beaufort et Dubois.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"A son altesse Royale supplie Gabriel Dumesnil contre Charles Ignace, baron de Mahuet et contre les sieurs Darnollet, de Beaufort et Dubois.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,9,Manuscrit imprimé,M. Simon,"A son altesse royale, supplie Gabriel Dumesnil contre Charles Ignace, baron de Mahuet et contre les sieurs Darnolet, de Beaufort et Dubois.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"A son altesse royale, supplie Gabriel Dumesnil contre Charles Ignace, baron de Mahuet et contre les sieurs Darnolet, de Beaufort et Dubois.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,10,Manuscrit imprimé,M. Protin,"Factum pour les abbé, prieur et religieux de Clairlieu contre Charles Ignace de Mahuet.",Papier cartonné,Français,_,_,"Factum pour les abbé, prieur et religieux de Clairlieu contre Charles Ignace de Mahuet.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,11,Manuscrit imprimé,Me S. Mihiel,"Analyse, inductions et contredits particuliers des titres sur lesquels dom Charlot  pour Charles Ignace de Mahuet contre les abbé, prieur et religieux de Clairlieu et Louis de Ludre.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"Analyse, inductions et contredits particuliers des titres sur lesquels dom Charlot  pour Charles Ignace de Mahuet contre les abbé, prieur et religieux de Clairlieu et Louis de Ludre.",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,12,Manuscrit imprimé,M. Lamesle,Précis de la cause d'entre Nicolas Pascal Marcol et Charles Ignace de Mahuet.,Papier cartonné,Français,_,18 février 1715,Précis de la cause d'entre Nicolas Pascal Marcol et Charles Ignace de Mahuet.,Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 13,13,Manuscrit imprimé,M. Henry,"Réfutation du mémoire imprimé de M. de Coyviller, par ampliation à la consultation de M. M. de Mahuet et de Bettenville. ",Papier cartonné,Français,"Nancy, H. Haener",_,"Réfutation du mémoire imprimé de M. de Coyviller, par ampliation à la consultation de M. M. de Mahuet et de Bettenville. ",Correct,"Factum 4 Z 13 ""Mahuet-Dumesnil""","Rez-de-chausser, travée 24 (71)"
4 Z 14,1,Manuscrit imprimé,_,Etat sommaire du procès entre Charles d'Ourches et Charles Louis de Vidampierre et Jacques de Vidampierre.,Papier cartonné,Français,_,_,Etat sommaire du procès entre Charles d'Ourches et Charles Louis de Vidampierre et Jacques de Vidampierre.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,2,Manuscrit imprimé,_,Contredits pour Charles d'Ourches contre Charles Louis de Vidampierre et Jacques de Vidampierre. ,Papier cartonné,Français,_,_,Contredits pour Charles d'Ourches contre Charles Louis de Vidampierre et Jacques de Vidampierre. ,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,3,Manuscrit imprimé,_,Analyse des preuves que le sieur d'Ourches produit pour justifier sa généaogie.,Papier cartonné,Français,_,_,Analyse des preuves que le sieur d'Ourches produit pour justifier sa généaogie.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,4,Manuscrit imprimé,Me Thibault,"Mémoire pour Charles, comte d'Ourches contre frère Louis de Froulay.",Papier cartonné,Français,"Nancy, Pierre Antoine",24 mars 1734,"Mémoire pour Charles, comte d'Ourches contre frère Louis de Froulay.",Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,5,Manuscrit imprimé,_,Précis pour Louis Charles d'Ourches et Jacques d'Ourches contre Charles d'Ourches.,Papier cartonné,Français,_,_,Précis pour Louis Charles d'Ourches et Jacques d'Ourches contre Charles d'Ourches.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,6,Manuscrit imprimé,_,Analyse et parallèle des principales vérités de fait entre Louis Charles d'Ourches et Jacques d'Ourches et Charles d'Ourches.,Papier cartonné,Français,_,_,Analyse et parallèle des principales vérités de fait entre Louis Charles d'Ourches et Jacques d'Ourches et Charles d'Ourches.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,7,Manuscrit imprimé,M. d'Ourches,Mémoire pour le comte d'Ourches contre le commandeur de Saint-Jean de Nancy.,Marron,Français,"Nancy, Pierre Antoine",_,Mémoire pour le comte d'Ourches contre le commandeur de Saint-Jean de Nancy.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,9,Manuscrit imprimé,Colin de Benaville,Mémoire pour François Joseph de Regemorte contre Pierre Nicolas de Salomon.,Papier cartonné,Français,"Nancy, P. Barbier",3 avril 1782,Mémoire pour François Joseph de Regemorte contre Pierre Nicolas de Salomon.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,8,Manuscrit imprimé,M. Jeandelize,Arrest du grand conseil du 10 septembre 1689 pour les religieux de Saint-Arnould de Metz contre Pierre Thomas de la Mouche.,Papier cartonné,Français,_,10 septembre 1689,Arrest du grand conseil du 10 septembre 1689 pour les religieux de Saint-Arnould de Metz contre Pierre Thomas de la Mouche.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,10,Manuscrit imprimé,M. de Vernon,Précis pour le sieur de Vernon contre M. de Vulmont.,Papier cartonné,Français,"Nancy, P. Barbier",5 mars 1780,Précis pour le sieur de Vernon contre M. de Vulmont.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 14,11,Manuscrit imprimé,M. Mollevaut,Pièces justificatives pour le sieur abbé Barail contre le receveur du chapitre de la primatiale.,Papier cartonné,Français,"nancy, Leseure",_,Pièces justificatives pour le sieur abbé Barail contre le receveur du chapitre de la primatiale.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""","Rez-de-chausser, travée 24 (71)"
4 Z 15,1,Manuscrit imprimé,M. Camus de Pontcarré,Mémoire pour Hypolite de Béthune contre le chapitre de l'église cathédrale de Verdun.,Papier cartonné,Français,"Paris, François Muguet","Friday, August 19, 1904",Mémoire pour Hypolite de Béthune contre le chapitre de l'église cathédrale de Verdun.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,2,Manuscrit imprimé,M. Séguier,Observations sommaires pour le Maréchal de Broglie et la marquise de Béthune contre la comtesse de Béthune et le duc de Lauzun.,Papier cartonné,Français,Chardon,"Wednesday, November 09, 1904",Observations sommaires pour le Maréchal de Broglie et la marquise de Béthune contre la comtesse de Béthune et le duc de Lauzun.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,3,Manuscrit imprimé,Me Target,"Plaidoyer pour le maréchal de Broglie, marquis de Béthune contre la comtesse de Béthune et le duc de Lauzun.",Papier cartonné,Français,L. Cellot,"Wednesday, November 09, 1904","Plaidoyer pour le maréchal de Broglie, marquis de Béthune contre la comtesse de Béthune et le duc de Lauzun.",Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,4,Manuscrit imprimé,M. Laget-Bardelin,Recueil de pièces pour le maréchal duc de Broglie contre la comtesse de Béthune.,Papier cartonné,Français,Chardon,24 mars 1775,Recueil de pièces pour le maréchal duc de Broglie contre la comtesse de Béthune.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,5A-B,Manuscrit imprimé,M. Séguier,Mémoire pour la comtesse de Béthune 1ere partie.,Papier cartonné,Français,_,_,Mémoire pour la comtesse de Béthune 1ere partie.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,5A-B,Manuscrit imprimé,_,Mémoire pour la comtesse de Béthune 2eme partie.,Papier cartonné,Français,_,_,Mémoire pour la comtesse de Béthune 2eme partie.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,6,Manuscrit imprimé,M. Riston,Mémoire pour le curé de Ludres contre le prieur titulaire régulier de Saint Firmin de Flavigny.,Papier cartonné,Français,"Nancy, Pierre Antoine",25 août 1771,Mémoire pour le curé de Ludres contre le prieur titulaire régulier de Saint Firmin de Flavigny.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,7,Manuscrit imprimé,M. Maury,"Réponse pour dom Benoit Martin au mémoire de Charles Noël, curé de Ludres.",Papier cartonné,Français,"Nancy, J. Haener",22 mars 1772,"Réponse pour dom Benoit Martin au mémoire de Charles Noël, curé de Ludres.",Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,8,Manuscrit imprimé,M. Henry,"Mémoire pour Catherine Marguerite, née comtesse de Lavaux contre Félicien de Hurdt et Charles François de Greiche.",Papier cartonné,Français,"Nancy, MM. Scolastique",28 juin 1774,"Mémoire pour Catherine Marguerite, née comtesse de Lavaux contre Félicien de Hurdt et Charles François de Greiche.",Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,9,Manuscrit imprimé,M. de la Salle,Précis pour les héritiers de dame Marie Rose de Greiche contre Catherine Marguerite de Lavaux.,Papier cartonné,Français,"Nancy, Pierre Antoine",3 août 1774,Précis pour les héritiers de dame Marie Rose de Greiche contre Catherine Marguerite de Lavaux.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,10,Manuscrit imprimé,M. Husson,Mémoire pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau et contre Me Florentin.,Papier cartonné,Français,"nancy, Leseure",_,Mémoire pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau et contre Me Florentin.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
4 Z 15,11,Manuscrit imprimé,"Louis, roi de France",Mémoire sur délibéré pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau. ,Papier cartonné,Français,_,_,Mémoire sur délibéré pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau. ,Correct,"Factum 4 Z 15 ""Béthune de Broglie""","Rez-de-chausser, travée 24 (71)"
n.c.,,Manuscrit imprimé,Bechameil,"Louis par la grace de dieu, roy de France et de Navarre au premier huissier de notre parlement chambre des comtes de Metz.",Papier  ,Français,_,11 janvier 1749,"Louis par la grace de dieu, roy de France et de Navarre au premier huissier de notre parlement chambre des comtes de Metz.",Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""","Rez-de-chausser, travée 24 (71)"
n.c.,,Manuscrit imprimé,Coquille,Arrest notable du conseil d'estat du roy.,Papier  ,Français,_,_,Arrest notable du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""","Rez-de-chausser, travée 24 (71)"
n.c.,,Manuscrit imprimé,Phelypeaux,Arrest du conseil d'estat du roy.,Papier  ,Français,"Paris, Henri Charpentier",23 avril 1665,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""","Rez-de-chausser, travée 24 (71)"
n.c.,,Manuscrit imprimé,Boucher,Arrest du conseil d'estat du roy.,Papier  ,Français,_,30 avril 1665,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""","Rez-de-chausser, travée 24 (71)"
