id,id_texte,commentaires
64,64,"64. Recueil de jurisprudence lorraine./Fol. 1. Dissertation historique.  Fol. 4. « Ordonnances des anciens ducs de Lorraine et de Bar », en ce qui concerne les matières bénéficiales et la justice.  Fol. 25. - « Recueil de jurisprudence sur les dixmes en Lorraine. » --- Fol. 37. « Description de la Lorraine », tirée de celle faite par le président Alix.  Fol. 49. « Extrait des résolutions de l'ancienne Cour de Lorraine. » 1661-1670. -- Fol. 55. « Recueil d'arrêts de la Cour souveraine de Lorraine ... par M. de Serre, par M. de Feriet ... »  Fol. 165. « Arrêts, édits ... a:1 sujet de la maîtrise des eaux et forêts, chasses et pêches de Lorraine. »/XVIII siècle. Papier. 172 feuillets. 340 sur 208 millim. Cart. basane.  (Bassigny en 1762.)"
65,65,"65. « Les plus principales et générales coutumes du duché de Lorraine. Rédigées sous le règne du duc Antoine. » Copie./Fol. 50. « Manuel d'aucuns articles d'Etat non rapporté au coutumier. » Publié par E. Bonvalot. Paris, 1878, in-8°./XVIIIe siècle. Papier. 66 feuillets, 222 sur 150 millim. Nombreuses corrections et annotations de la main de Du Pont de Romémont. Cartonné."
66,66,"66. Recueil de coutumes de la Lorraine./1. « Coustumes municipales de la ville et prévosté de Marsal, copiées ... par... Mozin, 1678. »  11 feuillets./2. Coutume de l'évêché de Metz. --- 30 feuillets. /3. Couture de Vaudémont. --- 140 feuillets./4. « Coutume générale du bailliage de Châté-surMoselle. » - 82 pages./XVIIe et XVIIIe siècles. Papier. 276 sur 190 millim. Cartonné."
67,67,"67. Recueil de coutumes./1. « Coustumes générales anciennes et nouvelles du duché de Lorraine. » Exemplaire de l'édition d'Epinal, 1633, interfolié et enrichi de notes manuscrites. ---- 159 feuillets./2. « Coustumes du bailliage de Sainct-Mihiel. » Exemplaire de l'édition de Saint-Mihiel, 1615, interfolié et annoté. -- 147 feuillets./XVIIIe siècle. Papier. 190 sur 140 millim. Rel. veau. ---- (Broyé en 1718. -- Gouzot en 1763.)"
68,68,"68. « Commentaire sur la coutume de Lorraine, par M. de Mahuet. »/XVIIIe siècle. Papier. 194 pages. 240 sur 185 millim. Cart. parchemin.  (Plassi?rd.)"
69,69,"69. « Coustumes généralles du bailliage de Chastel sur Mozelle, coppiées par ... Parisot, 23 juin 1664. »/Fol. 47. « Vacations pour les gens de justice. »/XVIIe siècle. Papier. 47 feuillets. 192 sur 143 millim. Relié à la suite des «Coustumes générales... d'Espinal, imp. à Nancy en 1607. Veau.- Au yo du premier plat, on lit: « Ce volume contenant deux coutumes ... a été formé pour le service de S. A. R. par M. de Remicourt. »"
70,70,70. « Coustumes du bailliage d'Espinal. ». Page 68. « Reiglements pour les salaires des juges. »/ - Page 75. « Ordonnance de S. A. R. sur l'homologation des coutumes ...»/XVIIe siècle. Papier. 83 pages. 200 sur 152 millim. Rel. veau. -- (Regnard.)
71,71,"71. « Coutumes du comté de Vaudemont qui n'ont jamais été homologuées ny imprimées ... »/Page 212. « Pour copie conforme ... le 10 avril 1717, signé Nicolas Fremy. »/XVIIIe siècle. Papier, 212 pages. 195 sur 148 millim. Rel. veau."
72,72,"72. « Statuts de Baudouin, archevêque de Trèves du 28 avril 1310. »/Fol. 2. « In nomine Domini amen. Ista sunt statuta salubria ... »  Fol. 24 vo. «... Qui pecuniam aut aliam rem in via vel alibi invenit ... Sed si nescitur cujus fuerit ...»,  Imprimé par Hontheim: Historia Trevirensis diplomatica, tome II, pages 42-86./XIVe siècle. Papier. 24 feuillets. 283 sur 210 millim. Rubriques et notes marginales. Le titre est du XVIIIe siècle. Incomplet, s'arrête au premier tiers du chapitre XCVII, De restitutionibus, page 66, de l'édition citée. Cartonné. - (Du Pont de Romémont.)"
73,73,"73. « Statuts sinodaux de Bertrand de la Tour, évêque de Toul, du 24 octobre 1359. »/Fol. 2. « In nomine Domini amen. Nos Bertrandus de Turre ... Tullensis episcopus ... In primis statuimus ... »  V° « De baptismo rubrica ». -- Fol. 33. « Datum, actum et publicaturn Tulli in nostra sancta sinodo ... XXIIII mensis octobris, anno Domini millesimo trecentesimo quinquagesimo nono ».  Imprimé dans le tome II (pages 850-864) de l'Histoire généalogique de la maison d'Auvergne, par Baluze. Paris, 1708, in-fol.  Cf. Journal de la Société d'Archéologie lorraine, 1885, page 87./XIVe siècle. Parchemin. 39 feuillets. 193 sur 130 millim. Couvert en parchemin."
74,74,"74. « Mémoire pour répondre à l'appel comme d'abus que M. le Procureur général a interjeté du mandement (de l'Official de Toul) du 9 décembre 1686, » sur la juridiction ecclésiastique./Fol. 21. « Mémoire de difficultés qu'on forme dans le cours des procédures civiles et criminelles des officialités de Toul. » Ces deux pièces sont reliées à la suite de l'imprimé : Recueil de pièces concernant la jurisdiction de l'évêché de Toul./XVIIIe siècle. Papier. 25 feuillets. 222 sur 171 millim. Cartonné."
75,75,75. Recueil d'ordonnances de Lorraine./1. « Les édits et ordonnances des ducs de Lorraine et de Bar » rédigés en forme de code. - 272 pages./2. Ordonnances diverses. - Page 1. « Chartes de la confrairie des maçons et charpentiers ... 1341. » - Page 260. Lettres patentes du 26 juin 1774.  274 pages./XVIIIe siècle. Papier. 340 sur 210 millim. Cartonné.
76,76,"76. « Supplément au recueil des arrêts de la Chambre royale établie à Metz, imprimé à Paris en 1681. »/Comprend les arrêts de 1680 à 1685. XVIIe siècle. Papier. 291 pages. 274 sur 210 millim. Cart."
77,77,"77. Recueil de chartes des ducs de Lorraine. Copies./Fol. A. « Ce cahier, annoté de la main de Ch. Hugo, prémontré, contient quelques-unes des preuves qu'il faisait copier aux Archives pour l'histoire de Lorraine à laquelle il travaillait ... » - Page 1. « Ratification du mariage de Jeanne seur de René, avec Charles d'Anjou, le 2 février 1474. » Tirée d'un « ler registre verd, page 65 vo. »  Page 85. «Certification de foy et hommaige faite par le roy de Sicille au roy, 10 février 1504. » Tirée d'un « Reg 9 verd, fol. 159 v°. » XVIIIe siècle. Papier. 89 pages. 330 sur 215 millim. Cart."
78,78,"78. Recueil d'ordonnances concernant le tabellionnage en Lorraine. 1232-1562./Composé par N. Frémy, de Vézelise, et augmenté par l'abbé Marchal. -- A la fin : « Tables des matières contenues es trois premiers tomes des ordonnances anciennes. » Ces tables n'ont aucun rapport avec le recueil qui les précède./XVIIIe et XIXe siècles. Papier. 312 pages et 40 feuillets. 246 sur 197 millim. Cartonné."
79,79,"79. « Recueil des édits, ordonnances, déclarations ... sur le fait des droits de haut-conduit, entrée et issue foraine, traverse ... » Imprimés et manuscrits./Fol. A. « Table chronologique. » - Page 1. « Privilèges de la Chartreuse de Rethel, 1433. »  Page 639. Arrangement fait avec le prince de Nassau-Sarrebruck, 1760./XVIIIe siècle. Papier. 22 feuillets et 642 pages. 253 sur 183 millim. Rel. veau. Filets dorés. - (Du Pont de Romémont)."
80,80,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
81,81,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
82,82,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
83,83,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
84,84,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
85,85,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
86,86,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
87,87,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
88,88,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
89,89,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
90,90,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
91,91,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
92,92,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
93,93,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
94,94,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
95,95,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
96,96,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
97,97,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
98,98,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
99,99,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
100,100,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
101,101,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
102,102,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
103,103,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
104,104,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
105,105,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
106,106,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
107,107,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
108,108,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
109,109,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
110,110,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
111,111,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
112,112,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
113,113,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
114,114,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
115,115,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
116,116,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
117,117,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
118,118,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
119,119,80-119. « Recette générale des finances. Journal de l'abonnement des vingtièmes. Journal des impositions. » 1750-1790./XVIIIe siècle. Papier. 38 registres. 420 sur 250 millim. Rel. veau et parchemin.  (Sidot. - Bretagne.)
120,120,"120. « Collection des bâtiments et usines dépendant du domaine du roi, composant le département de Dieuze. »/Fol. 2. « Domaine de Sarreguemines. »  Fol. 35. « Domaine de Dieuze. »/XVIIIe siècle. Papier. 37 feuillets, dont 20 plans de dimensions diverses, dans un cartonnage de 328 sur 240 millim."
121,121,"121. Recettes et dépenses de la caisse des pensionnaires et autres de Lorraine, année 1773, 2°, 3e et 4* quartiers. Pensions et gages./XVIIIe siècle. Papier. 55 feuillets. 365 sur 235 millim. Cartonné."
122,122,"122. « Recepte faicte par moy Nicolas Watot recepveur ordinaire pour ... Philippe Le Brun seigneur de Xivrey, de toutes et une chacune rentes, revenus ... tant en grains, chappons, poulles ... 1580-1581. »/Fol. 19. Acte authentique d'un prêt de 200 francs. Verdun le 10 janvier 1596./XVIe siècle. Papier. 19 feuillets. 300 sur 210 millim. Cartonné.  (Du Pont de Romémont. -- Catalogue Noël, 3279 et 3280.)"
123,123,"123. « Compte cinquième que rend M. Ch. Pacquotte, conseiller de S. A. R. (le duc de Lorraine) et trésorier de son hôtel ... » pour l'année 1736./XVIIIe siècle. Papier. 64 feuillets. 363 sur 250 millim. Rel. parchemin."
124,124,124. « Compte neufiesme du comte de Challegny pour l'année 1568. »/Fol. 1. « Ce présent compte a esté présenté à Nomeni à nous auditeurs soubsignés à la fin d'icelluy par Jehan de Rambouillet ...»/XVIe siècle. Papier. 64 feuillets. 300 sur 210 millim. Couv. en parchemin.  (Du Pont de Romémont.)
125,125,125. Pièces de comptabilité relatives à la principauté de Salm./Fol. 1. Roole du ... maire de Badonviller pour l'année 1680. »  Fol. 23. « Etat général de ce qui est deu au domaine de la principauté de Salm en 1775. »/XVIIe et XVIIIe siècles. Papier. 55 feuillets. 350 sur 220 millim. Cartonné.
126,126,126. « Anciennes grueries de Lorraine. »/Fol. 74. Salines. -- Fol. 87. Arrêt... de 1686 relatif aux forêts. »/XVIIIe siècle. Papier. 101 feuillets. 320 sur 205 millim. Rel. veau. - (Ex libris de Mahuet.)
127,127,127. Etat des taxes levées sur les bénéfices des Etats de Lorraine./Page 1. « Présenté en audition à Messieurs les commissaires ... à Chaumouzey le 4 mai 1623. »/XVIIe siècle. Papier. 147 pages. 312 sur 208 millim. Couv. en parchemin.
128,128,"128. Recueil./Fol. 98. « Chartres et patentes du duc Raoulx, pour la confrairie que les gens de mestiers ont au cloistre de S. George. 1341.»  Fol. 99. « Ordonnance de S. A. touchant les marchandises qui passent ... parmy ses pays. »  Fol. 101 vo, « Ordonnance de ce que l'on doibt payer sur les ponts de Malzéville et de Bouxières. 1593. »  Fol. 103. « Ordonnance de S. A. prohibitive aux officiers de son domaine de traficquer de bois ... 1515. »  Fol. 104. « Ordonnance de S. A. deffendante d'envoyer pasturer le bétail dans les preys après la première faulx ... 1615. »/XVIIe siècle. Papier. 8 feuillets numérotés 98 à 105. 308 sur 210 millim, Cart.  (Du Pont de Romémont.)"
129,129,"129. « Les édicts, ordonnances, reiglements et chartes des hans et mestiers des duchez de Lorraine et de Bar, qui se sont retrouvez depuis l'an 1289 jusques à présent, le tout distribué en douze livres, par Chrestien Reboursel. Tome premier. »/1. Fol. B. Dédicace : « A Son Altesse ».  Fol. 1. « Livre premier ... Police des choses ecclésiastiques. » -- Fol. 69. « Erection, fondation et privilèges de l'Université du Pont-à-Mousson, et autres ordonnances pour l'ordre et conservation des recteurs, maistres ...)  Fol. 161. « Ordre et sommaire de tous les édicts ... » - 165 feuillets./2. Fol. 13. « Livre deuxième. Titre III. Pour la succession et loy des masles ... de la maison de Lorraine. » --- 39 feuillets. (Incomplet.)/3. Fol. 1. « Livre troisième. De la noblesse, estats, offices et police militaire. »  Fol. 115. Table du livre II. - Fol. 117. Table du livre III. -- 124 feuillets./XVIIe siècle. Papier. 400 sur 252 millim. Frontispice avec encadrement en rouge et en bleu et les armes de Lorraine./Passim des pièces imprimées du XVIe et du XVIIe siècle. Demi-rel.  (Rollin en 1635. - De Mouron.  Vieujot Descolin en 1759.)"
130,130,130. Procès-verbaux des séances de la communauté des marchands de Toul./Page 1. Séance du 3 juillet 1733. --Page 429. Séance du 9 août 1782. - Page 437. Tableau des marchands de la ville de Toul./XVIIIe siècle. Papier. 437 pages. 345 sur 215 millim. Cart.
131,131,"131. Extraits des registres de la Chambre des Comptes de Lorraine. Recueil de cahiers./1. « Dénomination des confirmations de franchises et affranchissements de biens fonds ... relevées dans le 1 er tome des extraits des lettres patentes de M. le président Alix, de 1582. » 1473-1586.  15 feuillets./2. Extraits des lettres patentes pris dans le 2° volume de 1582, par M. le président Alix ... Gagières, permissions de construire fours ..., dons faits par le prince ...) --- 23 feuillets./3. « Relevé des articles contenus dans le 3° volume ... Affranchissements, érections de maisons en fiefs ... 1589-1614. » -- 40 feuillets./4. « Relevé des matières contenues dans le 4° volume ... Erections de fiefs, engagères . . . 1614-1626 ».  23 feuillets./5. « Lettres patentes des dons faits par les souverains de 1473 à 1588, prises dans le 2° volume. » 34 feuillets./6. « Erections et reprises de 1627 à 1664. ) --- 21 feuillets./7. « Erections de biens de ròture en fief, foys et hommages. 1698-1700. » -- 44 feuillets./8. « Extraits de lettres patentes. » 1699-1705. - 44 feuillets./9. « Donations d'immeubles et érections, de 1706 à 1711. » -- 37 feuillets./10. « Donations, de 1712 à 1719. » - 42 feuillets. 11. « Années 1719-1720. »  40 feuillets. 12. Lettres patentes de 1628 à 1700. - 8 feuillets. XVIIIe siècle. Papier. 360 sur 220 millim. Cartonné. -- (De Mahuet.)"
132,132,"132. « Extraits des comptes de la Monnoye de Nancy qui se trouvent aux Archives de la Chambre des Comptes de Lorraine, depuis le 1 février 1495 » jusqu'en 1703, par Du Pont de Romémont./XVIIIe siècle. Papier. 153 pages. 215 sur 168 millim. Cartonné."
133,133,"133. Factum pour le cardinal de Rohan en qualité d'abbé commenditaire de l'abbaye de Saint-Epvre de Toul, contre les habitans d'Allain-aux-Bæufs, à propos de leur église paroissiale. 1747./XVIIIe siècle. Papier. 69 feuillets. 325 sur 220 millim. Cartonné."
134,134,"134. Copies et extraits de pièces relatives au procès qui eut lieu de 1726 à 1728 entre les habitants de Frouard et ceux de Liverdun à propos d'une partie de la forêt de Haye./XIXe siècle. Papier. 15 feuillets. 300 sur 212 millim. A la fin, une carte de la forêt. Cartonné."
135,135,"135. Procès de sorciers./Fol. 1. Procès de Marguerite Picard de la Coste-lès-Fontenoy, 1633.  Fol. 5. Procès de « Jehennon veuve Hidouff le Regnard, de Robache », 1602. - Fol. 13. Procès de « Claude Tendon, du Chasnoy de Saulcy », 1619.  Fol. 19. « Arrêt contre Abrahain Racinot, dit André Desbordes, 1625. » Copie. - Fol. 21. « Arrest ... au profit de Marie Angélique de Chepy, veuve de P. Savare, accusée injustement » de sortilège, 1693. Imp./XVIIe-XVIIIe siècles. Papier. 22 feuillets. 315 sur 200 millim. Etui.  (Du Pont de Romémont.)"
136,136,"136. « Livre des élections des supérieures de ce monastère » (de la Congrégation de Notre-Dame de Nancy). 1618-1790./Fol. 1. Lettre originale de commission pour la cure de Mattaincourt en faveur de « Poiresson Fourier », signée « Franciscus Paticier abbas Calmosiacensis », et datée du 27 mai 1597. - Fol. 2. Election de la mère Alix Lcclerc, le 9 décembre 1618, confirmée et signée par Pierre Fourier.  Fol. 60. Election de la Mère Thérèse Scholastique Denooz, le 9 décembre 1790. - Fol. 66. Observations de M. Marchal sur un passage de l'Histoire du B. P. Fourier, par l'abbé Chapia.  XVIe-XIXe siècl?s. Papier. 66 feuillets. 300 sur 210 millim. Couv. parchemin."
137,137,"137. « Actes de la communauté et du discrétoire des religieux tiercelins du couvent de Nancy. 1656 à 1705. »/Page 1. « Achapt de la maison de Mademoiselle Arnoult. 12 juin 1636. » - Page 141. « Acte discrétorial pour faire emprunt ... pour bastir nostre église. » - Page 165. Constitution d'une rente de 300 fr., 26 juin 1705./XVIIe et XVIIIe siècles. Papier. 166 pages. 210 sur 160 millim. Couv. parchemin.  (Catalogue Noël, 3623.)"
138,138,"138. « Mémoires et annales de l'ermitage de la Conception immaculée de Notre-Dame de Saint-Jean-Baptiste et de Saint-Antoine, situé dans la paroisse d'Archette du doyenné de Remiremont ... appartenant à la congrégation des Ermites de Saint-Jean-Baptiste. Par un prêtre solitaire de la même congrégation. » Tirés des papiers du P. Arsène de Sainte-Croix, ermite de 1718 à 1760./Au-dessous du titre : « Commencé au mois de juin et achevé au mois d'octobre 1760. » - Page I. Table des matières.  Page 1. Mémoire de l'établissement de l'ermitage ...»  Page 479. « Incendie et rétablissement de l'ermitage. » 1754. --- Page 570. « Catalogue des livres qui sont actuellement (1757) en l'ermitage. » - Page 580. « L'institut réformé des ermites de Saint Jean-Baptiste, corrigé et augmenté dans la régularité. » - Page 694. « Fin des Mémoires annales ... »/XVIIIe siècle. Papier, XXVI et 695 pages. 327 sur 210 millim. Rel. veau."
139,139,"139. « Croquis de l'abbaye de Beaupré, dans une excursion avec M. Singry et Marchal, en 1837, par J. Cayon. »/XIXe siècle. Papier. 21 feuillets. 280 sur 210 millim. 11 planches, dessins et aquarelles. Cartonné."
140,140,"140. « Excursion à Clairlieu-lès-Nancy, de compagnie avec M. l'abbé Marchal, par J. Cayon. Juillet 1838.»/On y a joint un « Ascensement fait par les abbés de Clairlieu de deux pièces de terre ... », daté du 27 janvier 1494 (v. s.). Parchemin./XIXe siècle. Papier. 19 pages. 11 planches. 278 sur 200 millim, Etui."
141,141,141. « Catalogus personarum et officiorum provinciæ Campaniæ Societatis Jesu exeunte anno 1762. »/Page 1. « Collegium Argentinense. »  Page 10. Collegium Mussipontanum. » -- Page 15. « Collegium Nanceianum. »  Page 19. « Collegium San-Nicolaitanum. » - Page 20. « Collegium Spinalense. » - Page 29. Index. - Page 50. « Supplementum catalogi ad annum 1762. »/XVIIIe siècle. Papier. 61 pages. 180 sur 117 millim. Broché.
142,142,"142. Mémoires et documents relatifs à l'abbaye de Remiremont./Fol. 2. « Histoire monastique de l'abbaye de Remiremont, ordre de S. Benoit. 1688. Par D. Ch. George. » Copie faite par M. Marchal. --- Fol. 34. « Auteurs à consulter pour l'histoire de Remiremont. »  Fol. 48. « Cri de l'humanité et de la raison. » Imp. 1790.  Fol. 72 Lettre de Dom J. Mabillon ... touchant le premier institut de l'abbaye de Remiremont. » Imp. 1687.  Fol. 84. «Notice biographique sur S. Valdenaire, prieur d'Hérival de 1556 à 1592, extraite de l'histoire du Valdajol ... par J.-C. des Charrières. 1835. » -- Fol. 95. Discours prononcé à l'occasion du rétablissement de la fête de S. Romaric, 24 janvier 1841, par M. l'abbé Germain. Ms. autographe. --- Fol. 103. Même discours, imp. - Fol. 114. Notices sur Deycimont, Gerbépal, Grandvillers, Le Tillot et Longchamps. - Fol. 129. « Extrait de la transaction entre le souverain et le Chapitre de Remiremont, du 23 juin 1579. »/XVIIIe et XIXe siècles. Papier. 144 feuillets de dimensions diverses, dans un cartonnage de 373 sur 240 millim."
143,143,"143. Notice sur l'abbaye de Remiremont par le P. Vuillemin./Fol. 6. Lettre de dom Martène à l'abbesse de Remiremont, du 28 décembre 1728, relativement à l'histoire de l'abbaye./XVIIIe siècle. Papier. feuillets. 338 sur 210 millim. Broché."
144,144,"144. Sentence de Nicolas de Saraponte (Sarrebruck), archidiacre de Sarrebourg, accordant à Nicolas de Parnapetra, prieur de Varangéville, la propriété de Heillecourt. 24 mars 1372./Original et copie./XIVe siècle. Parchemin. 670 sur 480 millim. - XVIIe siècle. Papier. 14 feuillets. 322 sur 220 millim. Cartonné."
145,145,145. » Catalogus abbatum monasterii Sancti Petri Senonensis. /Fol. 2 vo. « Pars prima. In eâ referuntur abbates qui ab anno 660 usque ad annum 1239 ... floruêre. » -- Fol. 22. « Secunda pars. In hac ... abbatum qui ab anno 1239 usque ad præsens sæculum floruêre ... recensio. » 1708./XVIIIe siècle. Papier. 37 feuillets. 323 sur 215 millim. Cartonné.
