N° épi,N° travée,N° tablette,Auteur,Titre,Année,Cote,Etat,métrage ou commentaire,Carton
44,3,0,BARBIER P.,"Libératrice, chant cinquième: chef de guerre",1902,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant sixième: Orléans",1902,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant septième: Assauts, les Augustins et les Tourelles",1903,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant huitième: entre deux coups d'épée",1903,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant neuvième: batailles, Jargeau, Meung, Beaugeney, Patay",1903,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant dixième: vers la ville du sacre",1903,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant onzième: ville conquise",1904,Non côté,bon,,94
44,3,0,BARBIER P.,"Libératrice, chant douzième: victoire",1904,Non côté,bon,,94
44,3,0,DE METZ J.,Le calvaire de Jeanne d'Arc,,Non côté,bon,,95
44,3,0,DE LATOUR A.,Pèlerinage aux pays de Jeanne d'Arc,1880,Non côté,bon,,95
44,3,0,D'ALVEYDRE S.-Y.,"Jeanne d'Arc victorieuse, dédiée à l'armée française",1890,Non côté,bon,,95
44,3,0,BERGER F.,"Jeanne d'Arc, épopée en dix-huit chants et en vers",1924,Non côté,bon,,95
44,3,0,RUDLER G.,"Michelet, historien de Jeanne d'Arc tome 1: La méthode",1925,Non côté,bon,,95
44,3,0,RUDLER G.,"Michelet, historien de Jeanne d'Arc tome 2: La pensée - L'art",1926,Non côté,bon,,95
44,3,0,DE HALDAT,"Examen critique de l'histoire de Jeanne d'Arc, suivi de la relation de la fête célébrée à Dom-Remi en 1820",1850,Non côté,moyen,,95
44,3,0,GUIRAUD J.,La critique en face d'un mauvais livre,1926,Non côté,bon,,95
44,3,0,DE LA FRANQUERIE (marquis),Jeanne d'Arc la pucelle: sa mission royale temporelle et spirituelle,1956,Non côté,bon,,95
44,3,0,VIRION P.,"Jeanne en son temps, Jeanne en notre temps",1964,Non côté,bon,,95
44,3,0,MAIRE E.,La vie secrète de Jeanne d'Arc,1948,Non côté,bon,,95
44,3,0,DELARBRE P. R.,La bienheureuse Jeanne d'Arc dépeinte par elle-même,1909,Non côté,bon,,95
44,3,0,MOUROT V. (abbé),Jeanne d'Arc en face de l'église romaine et de la révolution,1886,Non côté,moyen,,95
44,3,0,MARTIN H.,"Jeanne d'Arc, étude lue à la salle Barthelemy",1864,Non côté,bon,,95
44,3,0,MEREJKOWSKI,"De Jésus à Nous: Paul & Augustin, François d'Assise, Jeanne d'Arc",1941,Non côté,bon,,95
44,3,0,TOUTAIN-MAZEVILLE,"La mission de la pucelle d'Orléans, chronique mise en vers",1865,Non côté,moyen,,95
44,3,0,MONTIER E. et TELLIER M.,L'épopée de Jeanne d'Arc,1923,Non côté,bon,,95
44,3,0,LECOY DE LA MARCHE A.,"A la gloire de Jeanne d'Arc, variétés historiques",1895,Non côté,moyen,,95
44,3,0,DE GRAVILLON A.,Le génie de Jeanne Darc,1895,Non côté,bon,,95
44,3,0,ALLARD P.,"Jeanne d'Arc, poème lyrique en trois parties",1886,Non côté,bon,,95
44,3,0,PREMIER J.-A. (abbé),Préludes poétiques au poème de Jeanne d'Arc,1885,Non côté,bon,,95
44,3,0,DE BONARDI DU MENIL (marquis),Jeanne d'Arc,1892,Non côté,bon,,95
44,3,0,MALASSAGNE (abbé),Dieu et patrie: La pucelle ou la France délivrée,,Non côté,bon,,95
44,3,0,BENARD R. A.,Dernière communion de Jeanne d'Arc,1929,Non côté,bon,,95
44,3,0,JACQUET (abbé),L'épée Jeanne d'Arc: Dieu et patrie,1855,Non côté,bon,,95
28,,0,JAUGEY J.-B. (abbé),"Etude sur Jeanne d'Arc: sa vie, ses voix, sa sainteté, sa soumission à l'église, son procès et l'autorité ecclésiastique",1867,Non côté,bon,,102
28,,0,RICHER E.,Histoire de la pucelle d'Orléans tome 1,1911,,,,102
28,,0,RICHER E.,Histoire de la pucelle d'Orléans tome 2,1912,Non côté,bon,,102
28,,0,,Revue des questions historiques tome 16,1930,Non côté,bon,,102
28,,0,GERMAIN DE MAIDY L.,Représentation présumée de Jeanne d'Arc,1900,Non côté,bon,,102
28,,0,AYROLES R. P.,Les diocèses de France et la bienheureuse Jeanne d'Arc,1909,Non côté,bon,,102
28,,0,VALOIS N.,Un nouveau témoignage sur Jeanne d'Arc,1907,Non côté,bon,,102
28,,0,DOM MONNOYEUR J.-B.,Traité de Jean Gerson sur la Pucelle,1930,Non côté,bon,,102
28,,0,BOUCHER DE MOLANDON,"Note de Guillaume Giraut, notaire au Châtelet d'Orléans, sur la levée du siège",1858,Non côté,bon,,102
28,,0,JARRY L.,Deux chansons normandes sur le siège d'Orléans et la mort de Salisbury,1894,Non côté,bon,,102
28,,0,DELISLE L.,Nouveau témoignage relatif à la mission de Jeanne d'Arc,1885,Non côté,bon,,102
28,,0,GUILLON F.,Etude historique sur le journal du siège qui fut mis devant Orléans par les Anglais en 1428 - 1429,1913,Non côté,bon,,102
28,,0,BOUCHER DE MOLANDON,La délivrance d'Orléans et l'institution de la fête du 8 mai,1883,Non côté,bon,,102
28,,0,,Inscriptions pour la pucelle d'Orléans,,Non côté,bon,,102
28,,0,CURMONDO S.,"Pucelle énigmatique, qui était Jeanne la Lorraine?",1996,Non côté,bon,,102
28,,0,JADART H.,"Jeanne d'Arc à Reims, ses relations avec Reims, ses lettres aux rémois",1887,Non côté,bon,,102
28,,0,WILLIAMS J.,Joan of Arc,,Non côté,bon,,102
28,,0,LAFFONT-BOMPIANI,Dictionnaire des personnages A - Z,1960,Non côté,bon,,102
28,,0,DEBOUT H.,Jeanne d'Arc et les villes d'Arras et de Tournai,,Non côté,bon,,102
28,,0,WILLIAMS J.,Jeanne d'Arc,1964,Non côté,bon,,102
28,,0,VERDI G. et DANGLAS L.,"Jeanne d'Arc, grand opéra, en 4 actes et 5 tableaux",,Non côté,bon,,101
28,,0,DE ROBILLARD DE BEAUREPAIRE,Chronique normande de Pierre Cochon,1870,Non côté,bon,,101
28,,0,DU CHESNE TOURANGEAU A.,Les uvres de Maistre Alain Chartier,1617,Non côté,bon,,101
28,,0,AYROLES J.-B.-J.,"A la plus méconnue des femmes, Jeanne la pucelle: à l'honneur de sa vraie mère et protectrice, l'église romaine",1890,Non côté,bon,,101
28,,0,PERNOUD R.,Jeanne devant les cauchons,1970,Non côté,bon,,101
28,,0,BATIFFOL L.,Jean Jouvenel,1894,Non côté,bon,,101
28,,0,GERARD A.-M.,Jehanne la mal jugée,1964,Non côté,bon,,101
28,,0,MOUCHARD A.,"Les fêtes de la béatification de Jeanne d'Arc, Rome - Orléans - La France",1910,Non côté,bon,,101
28,,0,FESCH A.,"Jeanne d'Arc, vierge & martyre",1893,Non côté,bon,,101
28,,0,DE LAFLOTTE D. B.,Aux pieds de Jeanne d'Arc,1911,Non côté,bon,,101
28,,0,,L'ouvrier n°1462,1890,Non côté,moyen,,102
28,,0,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 1",1817,Non côté,bon,,101
28,,0,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 2",1817,Non côté,bon,,101
28,,0,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 3",1817,Non côté,bon,,101
28,,0,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 4",1817,Non côté,bon,,101
28,,0,,Jeanne d'Arc par elle-même et par ses témoins,1962,Non côté,bon,,101
28,,0,MICHELET J.,"Jeanne d'Arc, les procès de Jeanne d'Arc",1986,Non côté,bon,,101
28,,0,GEORGE E. (abbé),Jeanne d'Arc considérée au point de vue franco-champenois,1894,Non côté,bon,,101
28,,0,,La vie et déplorable mort de la pucelle d'Orléans,1619,Non côté,bon,dans enveloppe en papier,101
28,,0,LE MOYNE (père),La gallerie des femmes fortes,1667,Non côté,moyen,,101
28,,0,DONCOEUR (père),La chevauchée de Jeanne d'Arc,1929,Non côté,bon,,101
28,,0,DUBRETON,Histoire du siège d'Orléans et de la pucelle Ieane,1631,Non côté,moyen,,101
28,,0,LENGLET DUFRESNOY (abbé),"Histoire de Jeanne Darc, vierge, héroïne et martyre d'état partie 2",1753,Non côté,bon,,101
28,,0,LENGLET DUFRESNOY (abbé),"Histoire de Jeanne Darc, vierge, héroïne et martyre d'état partie 3",1754,Non côté,bon,,101
28,,0,,Histoire du mémorable siège de la ville d'Orléans par les Anglais,1739,Non côté,bon,,101
28,,0,ROUETTE C. (abbé),Itinéraire de Jeanne la pucelle ou Jeanne d'Arc tome 1,1894,Non côté,bon,,101
28,,0,DE BOUTEILLER E. et DE BRAUX G.,Nouvelles recherches sur la famille de Jeanne d'Arc,1879,Non côté,bon,,101
28,,0,CORMAN L. (docteur),"Le vrai visage de Jeanne d'Arc, héroïne de non-violence",1951,Non côté,bon,,101
28,,0,CHAUSSARD,"Jeanne d'Arc, recueil historique et complet",1806,Non côté,bon,,101
28,,0,CHOUSSY J.-E.,Vie de Jeanne Darc,1900,Non côté,bon,,101
28,,0,COLAS DE LA NOUE E.,Jeanne d'Arc et le siège d'Orléans,1896,Non côté,moyen,,101
28,,0,DE HALDAT C.-N.-A.,"Eloge de Jeanne d'Arc, prononcé à la fête de Domremy",,Non côté,mauvais,,101
28,,0,CITOLLE J.,Epigrame sur l'espée de Jane la pucelle,1612,Non côté,bon,,101
28,,0,CHEVALIER U.,L'ajburation de Jeanne d'Arc au cimetière de Saint-Ouen et l'authenticité de sa formule,1902,Non côté,bon,,101
28,,0,PLANCHENAULT R.,"La ""chronique de la pucelle""",1932,Non côté,bon,,101
28,,0,SARRAZIN A.,Jeanne d'Arc et la Normandie au XVè siècle,1896,Non côté,bon,,101
28,,0,DUJARDIN J.,Jeanne d'Arc et les enquêtes de Poitiers,,Non côté,bon,,101
28,,0,BERRIAT-SAINT-PRIX,"Jeanne d'Arc, ou coup d'il sur les révolutions de France au tems de Charles VI et de Charles VII, et sur-tout de la pucelle d'Orléans",1817,Non côté,bon,,100
28,,0,CHARPENTIER P. et CUISSARD C.,Journal du siège d'Orléans (1428-1429) augmenté de plusieurs documents notamment des comtes de ville (1429-1431),1896,Non côté,bon,,100
28,,0,AYROLES J.-B.-J.,Jeanne d'Arc sur les autels et la régénération de la France,1885,Non côté,bon,,100
28,,0,PETIT DE JULLEVILLE L.,La Bienheureuse Jeanne d'Arc,1913,Non côté,bon,,100
28,,0,BUHE,Jeann d'Ark,1910,Non côté,bon,,100
28,,0,R. P. LECLERCQ H.,Jeanne d'Arc Savonarole,1906,Non côté,bon,,100
28,,0,SELLO H.,Die deutschen Anschauungen über die geschichtliche Jungfrau von Orleans im Wandel der Zeit,1932,Non côté,bon,,100
28,,0,DE SAILLY,"Revue historique - L'histoire de France de M. Henri Martin, perpétuité du druidisme, féodalité, influence civilisatrice de l'Eglise, nature du fief de Lorraine, Charles VII et Jeanne d'Arc, les fausses Jeanne d'Arc, le siège de Metz en 1444, nationalité française",1857,Non côté,bon,,100
28,,0,GORRES G.,Die Jungfrau von Orleans,1834,Non côté,bon,,100
28,,0,TIVIER H.,"Etude sur le mystère du siège d'Orléans et sur Jacques Millet, auteur présumé de ce mystère",1868,Non côté,bon,,100
28,,0,GERMAIN J.,"Richemont, Compagon de Jeanne d'Arc, le connétable qui bouta hors de France les Anglais",,Non côté,bon,,100
28,,0,RICHAUD M.-F. et IMBRECQ P.,En suivant Jeanne d'Arc sur les chemins de France,1956,Non côté,bon,,100
28,,0,LUCE S.,"Jeanne d'Arc à Domrémy, recherches critiques sur les origines de la mission de la Pucelle accompagnées de pièces justificatives",1886,Non côté,bon,,100
28,,0,WINDHAM F. M.,"La Pucelle d'Orléans, sa vie et sa mission d'après les documents originaux",1892,Non côté,bon,,101
28,,0,,Revue Historique Franciscaine Tome 8 N° 3-4,1931,Non côté,bon,,101
28,,0,BERGIER N.,L'entrée de Jeanne d'Arc à Reims le 16 juillet 1429,1890,Non côté,bon,,101
28,,0,,"Notice biographique sur Jeanne d'Arc, l Pucelle d'Orléans, née à Domrémy (Vosges), brûlée vive à Rouen (Seine-inférieure), le 30 mai 1431 à l'age de 19 ans",1875,Non côté,bon,,101
28,,0,,Jeanne d'Arc et les dominicains,1891,Non côté,bon,,101
28,,0,LECOY DE LA MARCHE A.,Le culte de Jeanne d'Arc jusqu'à nos jours et sa canonisation projetée,1889,Non côté,bon,,101
28,,0,PHILIPON DE LA MADELAINE M. V.,L'Orléanais - Histoire des ducs et du duché d'Orléans,1845,Non côté,bon,,101
28,,0,GROSJEAN G.,Jeanne d'Arc et le sentiment national,1980,Non côté,bon,,101
28,,0,GUILLEMIN A.,"Jeanne d'Arc, l'Epée de Dieu",1875,Non côté,bon,,101
28,,0,GUILLEMIN A.,"Jeanne d'Arc, poème en douze chants",1844,Non côté,bon,,101
28,,0,,Exhortation de la Pucelle d'Orléans à tous les princes de la Terre à faire une paix générale pour venger la mort du roi d'Angleterre par une guerre toute particulière,1877,Non côté,bon,,101
28,,0,DUNAND P.-H.,"Jules Quicherat, Pierre Cauchon et Jeanne d'Arc",1904,Non côté,bon,,101
28,,0,DE BARETON H.,Jeanne d'Arc Franciscaine,1909,Non côté,bon,,101
28,,0,,Jeanne d'Arc et les dominicains,1893,Non côté,bon,,101
28,,0,VILLIAUME M.,Histoire de Jeanne d'Arc et réfutation des diverses erreurs publiées jusqu'aujourd'hui,1864,Non côté,bon,,101
28,,0,CHASSAGNON H.,Les voix de Jeanne d'Arc,1896,Non côté,bon,,101
28,,0,,Mémorial du Vè centenaire de la réhabilitation de Jeanne d'Arc (1456 - 1956),1956,Non côté,bon,,101
28,,0,AYROLES J.-B.-J.,L'université de Paris au temps de Jeanne d'Arc et la cause de sa haine contre la libératrice,1902,Non côté,bon,,102
28,,0,AYROLES J.-B.-J.,La Vraie Jeanne d'Arc II - La Paysanne et l'Inspirée,1894,Non côté,bon,,102
28,,0,AYROLES J.-B.-J.,La Vraie Jeanne d'Arc III - La Libératrice,1897,Non côté,bon,,102
28,,0,AYROLES J.-B.-J.,La Vraie Jeanne d'Arc IV - La Vierge-Guerrière,1898,Non côté,bon,,102
28,,0,AYROLES J.-B.-J.,La Vraie Jeanne d'Arc V - La martyre,1902,Non côté,bon,,102
28,,0,GOWER R.,Joan of Arc,1893,Non côté,bon,,102
28,,0,DONCOEUR (père),Jehanne la Pucelle,1953,Non côté,bon,,102
45,1,0,DONCOEUR (père),Le mystère de la passion de Jeanne d'Arc (1430 - 1431),1930,Non côté,bon,,87
45,1,0,DONCOEUR (père),Le mystère de la passion de Jeanne d'Arc (1430 - 1431),1930,Non côté,bon,,87
45,1,0,WINWAR F.,Joan of Arc,1948,Non côté,bon,,87
45,1,0,DELERUE L.-G.,"Jeanne d'Arc, incarnation de la Patrie Française",1893,Non côté,bon,,87
45,1,0,,Missel de Sainte Jeanne d'Arc,1931,Non côté,bon,,87
45,1,0,DE ROBVILLE M.,Histoire de Jeanne d'Arc et de Jeanne Hachette,1855,Non côté,moyen,,87
45,1,0,,Missel de la vénérable Jeanne d'Arc,,Non côté,bon,,87
45,1,0,STEGGALL R.,Jeanne D'Arc and other Poems,1866,Non côté,bon,,87
45,1,0,FABRE J.,Le mois de Jeanne d'Arc,1892,Non côté,bon,,87
45,1,0,HOUGHTON L.,In the steps of Saint Joan of Arc,1951,Non côté,bon,,87
45,1,0,GUERIN A. et WHITE J. P.,Operation Shepherdess,1961,Non côté,bon,,87
45,1,0,BUCHAN A.,Joan of Arc and the recovery of France,1948,Non côté,bon,,87
45,1,0,BLIER P.,"Jeanne d'Arc, poëme dramatique",1878,Non côté,bon,,87
45,1,0,DE POLI O.,Les pages de Jeanne d'Arc,1902,Non côté,bon,,87
45,1,0,POKA-PIVNY A.,Le siècle de Jeanne d'Arc et le siècle dernier de la Hongrie,1931,Non côté,bon,,87
45,1,0,DE POLI O.,Jeanne d'Arc en Bourbonnais,1901,Non côté,bon,,87
45,1,0,BELTRAMI A.,"Giovanna D'Arco, detta la pulcella d'Orleans",1901,Non côté,bon,,87
45,1,0,BRASSILLACH R.,"Domremy, chronique en quatre actes",1961,Non côté,bon,,87
45,1,0,BERANANOS G.,"Jeanne, relapse et sainte",1934,Non côté,bon,,87
45,1,0,GOLDICHMITT F.,Jeanne d'Arc die gute bothringerin,1919,Non côté,bon,,87
45,1,0,confrérie de sainte Jeanne d'Arc,Message de Sainte Jeanne d'Arc,1960-1974,Non côté,bon,,87
45,1,0,,Missel de Jeanne d'Arc,1931,Non côté,bon,,87
45,1,0,VERISSIMO E.,A vida de Joana d'Arc,,Non côté,bon,,87
45,1,0,,Johanna die Jungfrau,1935,Non côté,bon,,87
45,1,0,RUDLER G.,"Michelet, Historien de Jeanne d'Arc",1925,Non côté,bon,,87
45,1,0,RICHAUMME A.,Jeanne d'Arc,1965,Non côté,bon,,87
45,1,0,CANONGE F. (général),Jeanne d'Arc Guerrière,1907,Non côté,moyen,,87
45,1,0,LEDAIN B.,Jeanne d'Arc à Poitiers,1894,Non côté,bon,,88
45,1,0,BOISSONNOT H.,Jeanne d'Arc à Tours,,Non côté,bon,,88
45,1,0,DAULON B.,"Jehan d'Aulon, écuyer de Jeanne d'Arc",1958,Non côté,bon,,88
45,1,0,ASSIER A.,Pièces rares ou inédites relatives à l'histoire de la Champagne et de la Brie,1897,Non côté,bon,,88
45,1,0,,Petit receuil de miniatures,,Non côté,bon,,88
45,1,0,,Programme Souvenir de la fête solennelles du pays Natal (Ve centenaire de sainte Jeanne d'Arc),1929,Non côté,moyen,,88
45,1,0,MAROT P.,"Jeanne la bonne lorraine à Domrémy: la marche de la Haute-Meuse, la mission de Jeanne d'Arc, souvenir et culte de l'héroïne dans son Pays",1980,Non côté,bon,,88
45,1,0,MAROT P.,Le pays de Jeanne d'Arc,1951,Non côté,bon,,88
45,1,0,MAROT P.,Le pays de Jeanne d'Arc,1951,Non côté,bon,,88
45,1,0,MAROT P.,Le pays de Jeanne d'Arc,1951,Non côté,bon,,88
45,1,0,TISSET P.,"Procès de condamnation de Jeanne d'Arc, Tome 2",1970,Non côté,bon,,88
45,1,0,MAROT P.,La minute française du procès de Jeanne d'Arc,1952,Non côté,bon,,88
45,1,0,MAROT P.,La minute française du procès de Jeanne d'Arc,1952,Non côté,bon,,88
45,1,0,TISSET P.,"Procès de condamnation de Jeanne d'Arc, Tome 1",1960,Non côté,bon,,88
45,1,0,,Pochette à propos du Musée de Jeanne d'Arc,1997,Non côté,bon,,88
45,1,0,,Les Amis de Jeanne d'Arc Tome 46 à 85 (boîte),1964-1976,Non côté,bon,,88
45,1,0,,"L'alliance, Organe de l'Alliance Jeanne d'Arc 1-5",1957,Non côté,bon,,88
45,1,0,,"Message de Sainte Jeanne d'Arc, numéro 1-35",1953-1959,Non côté,bon,,88
45,1,0,,"Association Universelle des Amis de Jeanne d'Arc, numéro 1-44",1953-1964,Non côté,bon,,88
45,1,0,GOURDON G.,Jeanne d'Arc drame en 3 actes et 7 tableaux,1910,Non côté,bon,,88
45,1,0,DE LAMARTINE A.,Jeanne d'Arc,1889,Non côté,bon,,88
45,1,0,BOURGUIGNON E.,Sainte Jeanne d'Arc (Captive et Martyre),1938,Non côté,bon,,88
45,1,0,HUGUES C.,La chanson de Jeanne d'Arc,1900,Non côté,bon,,88
45,1,0,VAUGHAN B. sj,The Matchless Maid,1910,Non côté,bon,,88
45,1,0,KOCH W.,Die Jungfrau von Orleans - Dichtung und Wirklichkeit,1963,Non côté,bon,,88
45,1,0,BEGUIN A.,La prière de Peguy,1942,Non côté,bon,,88
45,1,0,SCHILLER,Die Jungfrau von Orleans,1928,Non côté,bon,,88
45,1,0,BRECHT B.,"Stücke 4, Die heilige Johanna der Schlachthöfe",1964,Non côté,bon,,88
45,1,0,DE YGARTUA LANDECHO M. D.,Juana de Arco Generalisimo de diecisiete anos,1958,Non côté,bon,,88
45,1,0,,Der Prozess Jeanne d'Arc 1431-1456,1956,Non côté,bon,,88
45,1,0,ROY J.-J.-E.,Juana de Arc o la Doncella de Orleans,1841,Non côté,bon,,88
45,1,0,SCHILLER,La pucelle d'Orléans (die Jungfrau von Orleans),1932,Non côté,bon,,88
45,1,0,GOYAU G.,Jeanne d'Arc devant l'opinion allemande,1907,Non côté,bon,,88
45,1,0,CLEVE E.,"Du musst nach frankreich ziehn, Johanna",1961,Non côté,bon,,88
45,1,0,TOUCHET S.-X. (Mgr),La sainte de la patrie tome 1,1921,Non côté,moyen,,88
45,1,0,TOUCHET S.-X. (Mgr),La sainte de la patrie tome 2,,Non côté,moyen,,88
45,1,0,DE CONTE L. (sieur),Personal recollections of Joan of Arc,1896,Non côté,bon,,88
45,1,0,BLOY L.,Jeanne d'Arc et l'Allemagne,1915,Non côté,bon,,88
45,1,0,,archives et lettres maison de Jeanne d'Arc,,Non côté,moyen,pochette,88
45,1,0,,Domremy - lettres diverses,,Non côté,bon,pochette,88
45,1,0,BATAILLE H.,"Vaucouleurs, Les Remparts qui ont sauvé Jeanne-d'Arc",1964,Non côté,bon,,88
45,1,0,DE BRAUX G.,Jeanne d'Arc à Saint-Nicolas,1889,Non côté,bon,,88
45,1,0,CHAPELLIER J.-C.,Etude sur la véritable nationalité de Jeanne d'Arc,1886,Non côté,moyen,,88
45,1,0,GILLET P. (abbé),Sermaize et Jeanne d'Arc,1959,Non côté,bon,,88
45,1,0,CLANCHE G.,Jeanne d'Arc à Toul,1929,Non côté,bon,,88
45,1,0,CLANCHE G.,Le Séjour de Jeanne d'Arc à Dieulouard,1938,Non côté,bon,,88
45,1,0,BATAILLE H.,"Vaucouleurs, son histoire son tour d'horizon",1935,Non côté,bon,,88
45,1,0,HOSPES,"Jeanne d'Arc, grand capitaine",1909,Non côté,bon,,88
45,1,0,DORCET G.,Les collaborateurs de Jeanne d'Arc,,Non côté,bon,,88
45,1,0,,Analecta Bollandiana Tomus 84 Fasc. 1-2,1966,Non côté,bon,,88
45,1,0,Les amis du vieux Chinon,Bulletin Tome VI N° 6,1961-1962,Non côté,bon,,88
45,1,0,LEMOINE (général),Jeanne d'Arc chef de guerre,1930,Non côté,bon,,88
45,1,0,,La descendance du page de Jeanne d'Arc dans l'archidiocèse de Reims,1909,Non côté,bon,,88
45,1,0,DE LA BORDERIE A.,Pierrone et Perrinaïc,1894,Non côté,bon,,88
45,1,0,FONSSAGRIVES E.,Jeanne d'Arc et Richemont,1920,Non côté,bon,,88
45,1,0,CHAMPION P.,Madame d'Or & Jeanne d'Arc - Jeanne d'Arc à Arras,1907,Non côté,moyen,,88
45,1,0,DE PANGE M. (comte),Les Baudricourt,1903,Non côté,bon,,88
45,1,0,DE FOULQUES DE VILLARET A.,Louis de Coutes page de Jeanne d'Arc improprement nommé Louis de Contes,1890,Non côté,bon,,88
45,1,0,DE FOULQUES DE VILLARET A.,Identification des nom et surnom du page de Jeanne d'Arc,1890,Non côté,bon,,88
45,1,0,DE LA MARTINIERE J.,Gilles de Rays en face de Jeanne d'Arc,1930,Non côté,bon,,88
45,1,0,GUELLIEN N.,Perrinaïc une compagne de Jeanne d'Arc,1891,Non côté,bon,,88
45,1,0,DE GASTINES-DOMMAIGNE (comte),Les Laval a l'armée de Charles VII,1957,Non côté,bon,,88
45,1,0,DE PIMODAN (marquis),La première étape de Jeanne d'Arc,1890,Non côté,bon,,88
45,1,0,PERNOUD R.,"Vie et mort de Jeanne d'Arc, les témoignages du procès de réhabilitation 1450 - 1456",1953,Non côté,bon,,88
45,1,0,MAROT P.,"Jeanne la bonne lorraine à Domrémy: la marche de la Haute-Meuse, la mission de Jeanne d'Arc, souvenir et culte de l'héroïne dans son Pays",1980,Non côté,bon,,88
45,1,0,MAROT P.,Le culte de Jeanne d'Arc à Domremy: Son origine et son développement,1956,Non côté,bon,,88
45,1,0,CELLIEZ A.,Vie de Jeanne d'Arc,1841,Non côté,moyen,,88
45,1,0,DONCOEUR (père),La chevauchée de Jeanne d'Arc,1929,Non côté,bon,,88
45,1,0,ELGERS P.,"Jungfrau Johanna, historischer Roman",1975,Non côté,bon,,88
45,1,0,MALASSAGNE (abbé),La bienheureuse Jeanne d'Arc,,Non côté,bon,,88
45,1,0,,Sur les pas de Jeanne d'Arc,,Non côté,bon,,88
45,1,0,RAUBER G.,Jeanne d'Arc avant l'épopée,,Non côté,bon,,88
45,1,0,DE CARDONNE,Inauguration de la statue de Jeanne d'Arc à Blois,1921,Non côté,bon,dans un recueil,88
45,1,0,LHANDE P.,"Dieu et Jeanne, panégyrique de Sainte Jeanne d'Arc prononcée à Notre-Dame de Paris le 13 mai 1923",1923,Non côté,bon,88,
45,1,0,HANOTAUX G.,Jeanne d'Arc après 500 ans,1929,Non côté,bon,88,
45,1,0,,"Jeanne d'Arc, notice historique servant d'explication aux bas-reliefs du Monument élevé sur la place du Martroi",1869,Non côté,bon,88,
45,1,0,HEBERT J.,"Jeanne d'Arc, panégyrique prononcée à Notre-Dame de Paris de Dimanche 19 mai 1912",1912,Non côté,bon,88,
45,1,0,LAURENT-LAPORTE A.,Notes curieuses sur Jeanne d'Arc,1896,Non côté,bon,88,
45,1,0,DEBOUT H.,Appréciation du Duc de Bedford régent de France sur Jeanne d'Arc et son uvre,1894,Non côté,bon,88,
45,1,0,BROUSSON J.-J.,La Couronne Improvisée,1926,Non côté,bon,,88
45,1,0,MABILLE DE PONCHEVILLE A.,Vie de Péguy,,Non côté,bon,,88
45,1,0,,Panégyrique de Jeanne d'arc prononcé dans l'Eglise de Domremy par M. l'abbé Patron Chanoine & aumonier du Sacré-Cur à Orleans,,Non côté,bon,,88
45,1,0,THOORENS L.,Jeanne d'Arc: Bergère et soldat,1963,Non côté,bon,,88
45,1,0,SUE E.,Jeanne d'Arc: La pucelle d'Orléans à l'assut d'une place forte occupée par les Anglais,1916,Non côté,bon,,88
45,1,0,SPIRAUX A.,Jeanne d'Arc et l'enfant juif,1972,Non côté,bon,,88
45,1,0,PERNOUD R.,Sainte Jeanne d'Arc patronne de la France,1955,Non côté,bon,,88
45,1,0,,"Mémoires de la société des sciences, belles-lettres et arts d'Orléans, tome 8",1849,Non côté,bon,,88
45,1,0,RYNER H.,Chère Pucelle de France!,,Non côté,moyen,,88
45,1,0,MONTMAJOUR P.,La jeune fille des Lys,1946,Non côté,bon,,88
45,1,0,OVDEN O.,"Jeanne, Guds Dotter",1970,Non côté,bon,,88
45,1,0,BORDEAUX H.,Vie de sainte Jeanne d'Arc,1939,Non côté,bon,,88
45,1,0,,La voix N° 75 à 101,1985-1987,Non côté,bon,,88
45,1,0,DAHL A.,Jeanne d'Arc Revint,1929,Non côté,bon,,89
45,1,0,SEPET M.,Au temps de la Pucelle: récits et tableaux - Le Péril National,1905,Non côté,bon,,89
45,1,0,GAFFET L.-A. et DESJARDINS A.-C.,l'Inviolée Jeanne d'Arc de Cauchon à Thalamas,1909,Non côté,mauvais,,89
45,1,0,DU CASSE A.,Episode des guerres du temps de Charles VII,1845,Non côté,bon,,89
45,1,0,PIGUET A.,Tremblez Godons!,1978,Non côté,bon,,89
45,1,0,MICHON M.,Tête-d'étoupe,1963,Non côté,bon,,89
45,1,0,ETCHEVERY J.-P.,"Arthur de Richemont le Justicier: Précurseur, Compagnon et Successeur de Jeanne d'Arc ou l'Honneur d'être Français",1983,Non côté,bon,,89
45,1,0,FAVIER J.,Finance & Fiscalité au Bas Moyen-Age,1971,Non côté,bon,,89
45,1,0,BLEAU C. A.,Mois de Marie et de la Bienheureuse Jeanne d'Arc,,Non côté,moyen,,89
45,1,0,LECLERC C. L.,La Lorraine Insolite,1968,Non côté,bon,,89
