id,cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
243,4 Z 14,11,Manuscrit imprimé,M. Mollevaut,Pièces justificatives pour le sieur abbé Barail contre le receveur du chapitre de la primatiale.,Papier cartonné,Français,"nancy, Leseure",,Pièces justificatives pour le sieur abbé Barail contre le receveur du chapitre de la primatiale.,Correct,"Factum 4 Z 14 ""D'Ourches de Vidampierre""",Archives départementales
244,4 Z 15,1,Manuscrit imprimé,M. Camus de Pontcarré,Mémoire pour Hypolite de Béthune contre le chapitre de l'église cathédrale de Verdun.,Papier cartonné,Français,"Paris, François Muguet","Friday, August 19, 1904",Mémoire pour Hypolite de Béthune contre le chapitre de l'église cathédrale de Verdun.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
245,4 Z 15,2,Manuscrit imprimé,M. Séguier,Observations sommaires pour le Maréchal de Broglie et la marquise de Béthune contre la comtesse de Béthune et le duc de Lauzun.,Papier cartonné,Français,Chardon,"Wednesday, November 09, 1904",Observations sommaires pour le Maréchal de Broglie et la marquise de Béthune contre la comtesse de Béthune et le duc de Lauzun.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
246,4 Z 15,3,Manuscrit imprimé,Me Target,"Plaidoyer pour le maréchal de Broglie, marquis de Béthune contre la comtesse de Béthune et le duc de Lauzun.",Papier cartonné,Français,L. Cellot,"Wednesday, November 09, 1904","Plaidoyer pour le maréchal de Broglie, marquis de Béthune contre la comtesse de Béthune et le duc de Lauzun.",Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
247,4 Z 15,4,Manuscrit imprimé,M. Laget-Bardelin,Recueil de pièces pour le maréchal duc de Broglie contre la comtesse de Béthune.,Papier cartonné,Français,Chardon,24 mars 1775,Recueil de pièces pour le maréchal duc de Broglie contre la comtesse de Béthune.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
248,4 Z 15,5,Manuscrit imprimé,M. Séguier,Mémoire pour la comtesse de Béthune 1ere partie.,Papier cartonné,Français,,,Mémoire pour la comtesse de Béthune 1ere partie.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
249,4 Z 15,5,Manuscrit imprimé,M. Séguier,Mémoire pour la comtesse de Béthune 2eme partie.,Papier cartonné,Français,,,Mémoire pour la comtesse de Béthune 2eme partie.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
250,4 Z 15,6,Manuscrit imprimé,M. Riston,Mémoire pour le curé de Ludres contre le prieur titulaire régulier de Saint Firmin de Flavigny.,Papier cartonné,Français,"Nancy, Pierre Antoine",25 août 1771,Mémoire pour le curé de Ludres contre le prieur titulaire régulier de Saint Firmin de Flavigny.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
251,4 Z 15,7,Manuscrit imprimé,M. Maury,"Réponse pour dom Benoit Martin au mémoire de Charles Noël, curé de Ludres.",Papier cartonné,Français,"Nancy, J. Haener",22 mars 1772,"Réponse pour dom Benoit Martin au mémoire de Charles Noël, curé de Ludres.",Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
252,4 Z 15,8,Manuscrit imprimé,M. Henry,"Mémoire pour Catherine Marguerite, née comtesse de Lavaux contre Félicien de Hurdt et Charles François de Greiche.",Papier cartonné,Français,"Nancy, MM. Scolastique",28 juin 1774,"Mémoire pour Catherine Marguerite, née comtesse de Lavaux contre Félicien de Hurdt et Charles François de Greiche.",Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
253,4 Z 15,9,Manuscrit imprimé,M. de la Salle,Précis pour les héritiers de dame Marie Rose de Greiche contre Catherine Marguerite de Lavaux.,Papier cartonné,Français,"Nancy, Pierre Antoine",3 août 1774,Précis pour les héritiers de dame Marie Rose de Greiche contre Catherine Marguerite de Lavaux.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
254,4 Z 15,10,Manuscrit imprimé,M. Husson,Mémoire pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau et contre Me Florentin.,Papier cartonné,Français,"nancy, Leseure",,Mémoire pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau et contre Me Florentin.,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
255,4 Z 15,11,Manuscrit imprimé,"Louis, roi de France",Mémoire sur délibéré pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau. ,Papier cartonné,Français,,,Mémoire sur délibéré pour Sébastien Corentin Le Dall de Tromelin contre l'abbaye de Mureau. ,Correct,"Factum 4 Z 15 ""Béthune de Broglie""",Archives départementales
256,n.c.,,Manuscrit imprimé,Bechameil,"Louis par la grace de dieu, roy de France et de Navarre au premier huissier de notre parlement chambre des comtes de Metz.",Papier,Français,,11 janvier 1749,"Louis par la grace de dieu, roy de France et de Navarre au premier huissier de notre parlement chambre des comtes de Metz.",Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
257,n.c.,,Manuscrit imprimé,Coquille,Arrest notable du conseil d'estat du roy.,Papier,Français,,,Arrest notable du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
258,n.c.,,Manuscrit imprimé,Phelypeaux,Arrest du conseil d'estat du roy.,Papier,Français,"Paris, Henri Charpentier",23 avril 1665,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
259,n.c.,,Manuscrit imprimé,Boucher,Arrest du conseil d'estat du roy.,Papier,Français,,30 avril 1665,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
260,n.c.,,Manuscrit imprimé,"Louis, roi de France",Extraict des registres de la cour des Aydes.,Papier,Français,,4 mai 1665,Extraict des registres de la cour des Aydes.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
261,n.c.,,Manuscrit imprimé,Bechameil,Arrest du conseil d'estat du roy.,Papier,Français,,22 mars 1666,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
262,n.c.,,Manuscrit imprimé,Bechameil,Arrest du conseil d'estat du roy.,Papier,Français,,14 octobre 1666,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
263,n.c.,,Manuscrit imprimé,Bechameil,Extrait des registres du conseil d'état.,Papier,Français,,16 décembre 1666,Extrait des registres du conseil d'état.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
264,n.c.,,Manuscrit imprimé,Phelypeaux,Extrait des registres du conseil d'état.,Papier,Français,,28 décembre 1666,Extrait des registres du conseil d'état.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
265,n.c.,,Manuscrit imprimé,Phelypeaux,Extrait des registres du conseil d'estat.,Papier,Français,,13 janvier 1667,Extrait des registres du conseil d'estat.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
266,n.c.,,Manuscrit imprimé,Bechameil,Arrest du conseil d'estat du roy.,Papier,Français,,13 janvier 1667,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
267,n.c.,,Manuscrit imprimé,Bechameil,Arrest du conseil d'estat du roy.,Papier,Français,,20 janvier 1667,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
268,n.c.,,Manuscrit imprimé,"Louis, roi de France",Extrait des registres du conseil d'estat.,Papier,Français,,20 janvier 1667,Extrait des registres du conseil d'estat.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
269,n.c.,,Manuscrit imprimé,De Lionne,Arrest du conseil d'estat du roy.,Papier,Français,,13 février 1669,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
270,n.c.,,Manuscrit imprimé,Du Tillet,Extrait des registres du conseil d'état.,Papier,Français,,15 mars 1669,Extrait des registres du conseil d'état.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
271,n.c.,,Manuscrit imprimé,Le Tellier,Edit du roy.,Papier,Français,,13 août 1669,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
272,n.c.,,Manuscrit imprimé,Bollioud,Déclaration du roy.,Papier,Français,,23 décembre 1683,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
273,n.c.,,Manuscrit imprimé,Fillotte,Extrait des registres de parlement.,Papier,Français,,23 décembre 1683,Extrait des registres de parlement.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
274,n.c.,,Manuscrit imprimé,Fillotte,Déclaration du roy.,Papier,Français,,10 mars 1685,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
275,n.c.,,Manuscrit imprimé,Fillotte,Déclaration du roy.,Papier,Français,,21 janvier 1685,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
276,n.c.,,Manuscrit imprimé,Fleury,Edit du roy.,Papier,Français,,9 juillet 1691,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
277,n.c.,,Manuscrit imprimé,,Lettres patentes sur arrest du conseil.,Papier,Français,,17 avril 1736,Lettres patentes sur arrest du conseil.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
278,n.c.,,Manuscrit imprimé,Ranchin,Arrest du conseil d'estat du roy.,Fleurie,Français,"Paris, Simon Langlois",1692-1693-1694,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
279,n.c.,,Manuscrit imprimé,Ranchin,Arrest du conseil d'estat du roy.,Papier,Français,,31 juillet 1696,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
280,n.c.,,Manuscrit imprimé,Goujon,Déclaration du roy.,Papier,Français,"Paris, Jacques Langlois",4 septembre 1696,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
281,n.c.,,Manuscrit imprimé,Goujon,Arrest du conseil d'état du roy.,Papier,Français,,26 février 1697,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
282,n.c.,,Manuscrit imprimé,Goujon,Arrest du conseil d'estat du roy.,Papier,Français,"Paris, Pierre Baillard",5 mars 1697,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
283,n.c.,,Manuscrit imprimé,Du Jardin,Armoiries arrest du conseil d'estat du roy.,Papier,Français,"Paris, Pierre Baillard",26 mars 1697,Armoiries arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
284,n.c.,,Manuscrit imprimé,Du Jardin,Arrest du conseil d'estat du roy.,Papier,Français,,27 mai 1698,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
285,n.c.,,Manuscrit imprimé,Phelypeaux,Arrest du conseil d'état du roy.,Papier,Français,,5 mai 1699,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
286,n.c.,,Manuscrit imprimé,J. Prieur,Déclaration du roy.,Papier,Français,"Paris, François Muguet",28 avril 1702,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
287,n.c.,,Manuscrit imprimé,Regnier,Arrest du conseil d'état privé du roy.,Marron,Français,"Nancy, Dominique Gaydon","Tuesday, August 30, 1904",Arrest du conseil d'état privé du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
288,n.c.,,Manuscrit imprimé,Goujon,Edit du roy.,Papier,Français,"Metz, Brice Antoine",23 mars 1705,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
289,n.c.,,Manuscrit imprimé,Goujon,Arrest du conseil d'estat du roy.,Papier,Français,,24 février 1711,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
290,n.c.,,Manuscrit imprimé,Phelypeaux,Arrest du conseil d'estat du roy.,Papier,Français,,24 février 1711,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
291,n.c.,,Manuscrit imprimé,Gilbert,Arrest du conseil d'estat du roy.,Papier,Français,,6 décembre 1717,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
292,n.c.,,Manuscrit imprimé,Fleuriau,Extrait des registres du parlement. Le roy Louis XV.,Papier,Français,,22 février 1723,Extrait des registres du parlement. Le roy Louis XV.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
293,n.c.,,Manuscrit imprimé,Le Bon de Breuteuil,Arrest du conseil d'estat du roy.,Papier,Français,"Paris, Veuve Saugrain et Pierre Prault",20 février 1725,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
294,n.c.,,Manuscrit imprimé,Bauhin et Delaruelle,Arrest du conseil d'état du roy.,Papier,Français,"Versailles, Ph. D. Pierre",20 juin 1788,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
295,n.c.,,Manuscrit imprimé,Baüyn,Extrait des registres du conseil d'état.,Papier,Français,"D'Houry, imprimeur du Duc d'Orléans",24 juillet 1734,Extrait des registres du conseil d'état.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
296,n.c.,,Manuscrit imprimé,Brouet,Ordonnance du roy.,Papier,Français,,1er mai 1735,Ordonnance du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
297,n.c.,,Manuscrit imprimé,De Vougny,Déclaration du roy.,Papier,Français,"Metz, François Antoine",4 juin 1737,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
298,n.c.,,Manuscrit imprimé,Brouet,Arrest du conseil d'estat du roy.,Papier,Français,,15 avril 1738,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
299,n.c.,,Manuscrit imprimé,Evèque de Metz,Déclaration du roy.,Papier,Français,"Metz, François Antoine",13 septembre 1739,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
300,n.c.,,Manuscrit imprimé,Brouet,Arrest du conseil d'estat du roy.,Papier,Français,"Metz, Veuve et fils de Brice Antoine",31 janvier 1741,Arrest du conseil d'estat du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
301,n.c.,,Manuscrit imprimé,,Déclaration du roy.,Papier,Français,"Metz, François Antoine",5 mars 1741,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
302,n.c.,,Manuscrit  ,Humbert,Ordonnance du roy.,Papier,Français,,20 juillet 1741,Ordonnance du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
303,n.c.,,Manuscrit imprimé,Duc de Belle-Isle,Déclaration du roy.,Papier,Français,"Metz, François Antoine",29 août 1741,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1663-1750""",Archives départementales
304,n.c.,,Manuscrit imprimé,Phelypeaux,Arrest du conseil d'état du roy.,Papier,Français,,25 mai 1760,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
305,n.c.,,Manuscrit imprimé,Dufranc,Ordonnance du roy.,Papier,Français,,29 juillet 1760,Ordonnance du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
306,n.c.,,Manuscrit imprimé,Brouet,Edit du roy.,Papier,Français,,"Tuesday, November 01, 1904",Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
307,n.c.,,Manuscrit imprimé,Marie Thérèse,Edit du roy.,Papier,Français,"Metz, J-P Collignon","Thursday, November 03, 1904",Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
308,n.c.,,Manuscrit imprimé,Cachedenier de Vassimon,Lettres patentes du roi.,Papier,Français,,22 août 1769,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
309,n.c.,,Manuscrit imprimé,Duc de Choiseul,Arrest du conseil d'état du roy.,Papier,Français,,11 juin 1770,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
310,n.c.,,Manuscrit imprimé,Dufranc,Edit du roy.,Papier,Français,,26 juin 1770,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
311,n.c.,,Manuscrit imprimé,Morel,Lettres patentes du roi.,Papier,Français,,29 juin 1770,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
312,n.c.,,Manuscrit imprimé,Brouet,Edit du roy.,Papier,Français,,"Saturday, November 05, 1904",Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
313,n.c.,,Manuscrit imprimé,Riocourt,(Double) Edit du roi.,Papier,Français,,"Saturday, November 05, 1904",(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
314,n.c.,,Manuscrit imprimé,Beurard,(Double) Edit du roi.,Papier,Français,,"Saturday, November 05, 1904",(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
315,n.c.,,Manuscrit imprimé,F. Lacroix,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot","Saturday, November 05, 1904",(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
316,n.c.,,Manuscrit imprimé,Beurard,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot","Saturday, November 05, 1904",(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
317,n.c.,,Manuscrit imprimé,Beurard,(Double) Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",20 mars 1772,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
318,n.c.,,Manuscrit imprimé,Beurard,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot","Sunday, November 06, 1904",(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
319,n.c.,,Manuscrit imprimé,Beurard,(Double ) Déclaration du roi.,Papier,Français,"Nancy, Veuve Charlot",28 mars 1772,(Double ) Déclaration du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
320,n.c.,,Manuscrit imprimé,Brouet,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",12 avril 1772,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
321,n.c.,,Manuscrit imprimé,Beurard,(Double) Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",27 avril 1772,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
322,n.c.,,Manuscrit imprimé,Brouet,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",25 avril 1772,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
323,n.c.,,Manuscrit imprimé,Brouet,(Double) Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",14 mars 1772,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
324,n.c.,,Manuscrit imprimé,Brouet,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot","Sunday, November 06, 1904",(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
325,n.c.,,Manuscrit imprimé,Brouet,Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",15 décembre 1772,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
326,n.c.,,Manuscrit imprimé,Brouet,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot",février 1773,(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
327,n.c.,,Manuscrit imprimé,Brouet,(Double) Déclaration du roi.,Papier,Français,"Nancy, Veuve Charlot",6 mars 1773,(Double) Déclaration du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
328,n.c.,,Manuscrit imprimé,Le Febvre,(Double) Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",mai 1773,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
329,n.c.,,Manuscrit imprimé,Beurard,Déclaration du roy.,Papier,Français,"Nancy, P. Antoine",22 mars 1773,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
330,n.c.,,Manuscrit imprimé,Brouet,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",26 mai 1774,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
331,n.c.,,Manuscrit imprimé,Beurard,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",1er mars 1775,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
332,n.c.,,Manuscrit imprimé,Beurard,Ordonnance du roy.,Papier,Français,"Nancy, Veuve Charlot",septembre 1775,Ordonnance du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
333,n.c.,,Manuscrit imprimé,Riocourt,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot",septembre 1775,(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
334,n.c.,,Manuscrit imprimé,Le Jay,Edit du roy.,Papier,Français,"Nancy, Veuve Charlot",26 septembre 1775,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
335,n.c.,,Manuscrit imprimé,Beurard,Lettres patentes du roi.,Papier,Français,"Paris, Ph. D. Pierre",12 janvier 1776,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
336,n.c.,,Manuscrit imprimé,Brouet,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",10 février 1776,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
337,n.c.,,Manuscrit imprimé,Brouet,(Double) Déclaration du roi.,Papier,Français,"Nancy, Veuve Charlot",26 avril 1776,(Double) Déclaration du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
338,n.c.,,Manuscrit imprimé,Riocourt,(Double) Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",mars 1777,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
339,n.c.,,Manuscrit imprimé,De Marien,Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",6 mars 1777,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
340,n.c.,,Manuscrit imprimé,De la Galaisière,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",7 mars 1777,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
341,n.c.,,Manuscrit imprimé,Brouet,Arrest du conseil d'état du roy.,Papier,Français,"Nancy, Veuve Leclerc",15 mars 1777,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
342,n.c.,,Manuscrit imprimé,De la Galaisière,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",3 avril 1777,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
343,n.c.,,Manuscrit imprimé,De Sartine,Ordonnance du roy.,Papier,Français,"Nancy, Veuve Leclerc",19 octobre 1777,Ordonnance du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
344,n.c.,,Manuscrit imprimé,Riocourt,Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",9 novembre 1777,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
345,n.c.,,Manuscrit imprimé,Beurard,Edit du roy.,Papier,Français,"Nancy, Veuve Charlot",avril 1778,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
346,n.c.,,Manuscrit imprimé,Brouet,Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",22 novembre 1778,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
347,n.c.,,Manuscrit imprimé,Riocourt,Edit du roy.,Papier,Français,"Nancy, Veuve Charlot",février 1779,Edit du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
348,n.c.,,Manuscrit imprimé,Brouet,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot",février 1779,(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
349,n.c.,,Manuscrit imprimé,Beurard,(Double) Edit du roi.,Papier,Français,"Nancy, Veuve Charlot",mai 1779,(Double) Edit du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
350,n.c.,,Manuscrit imprimé,Riocourt,(Double) Lettres patentes du roi.,Papier,Français,,13 septembre 1779,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
351,n.c.,,Manuscrit imprimé,Brouet,Déclaration du roy.,Papier,Français,"Nancy, Veuve Charlot",13 février 1780,Déclaration du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
352,n.c.,,Manuscrit imprimé,Prince de Montbarey,(Double) Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",juin 1780,(Double) Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
353,n.c.,,Manuscrit imprimé,Le Febvre,Arrest du conseil d'état du roy.,Papier,Français,"Paris, imprimerie royale",6 septembre 1780,Arrest du conseil d'état du roy.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
354,n.c.,,Manuscrit imprimé,Le Febvre,Lettres patentes du roi.,Papier,Français,"Nancy, Veuve Charlot",14 septembre 1780,Lettres patentes du roi.,Mauvais,"Factum ""Pièces émanant des rois de France. 1750-1785""",Archives départementales
