id,epi,travee,tablette,cote,ordre,lieu,format,auteur,titre,annee,tome,etat,commentaire
7025,4,14,4,8 G 6,,,in-8,"DIGOT, Aug.",Histoire du royaume d'Austrasie (tome second),1863,,bon,
7026,4,14,4,8 G 6,,,in-8,"DIGOT, Aug.",Histoire du royaume d'Austrasie (tome troisième),1863,,bon,
7027,4,14,4,8 G 6,,,in-8,"DIGOT, Aug.",Histoire du royaume d'Austrasie (tome quatrième),1863,,bon,
7028,4,14,4,8 G 6,,,in-4,"TOUSSAINT, Maurice",La Lorraine à l'époque gallo-romaine,1928,,bon,
7029,4,14,4,8 G 6,,,in-4,"DIGOT, Aug.",Histoire du royaume d'Austrasie (tome premier),1863,,moyen,
7030,4,14,4,8 G 6,,,in-4,"DIGOT, Aug.",Histoire du royaume d'Austrasie (tome second),1863,,moyen,
7031,4,14,4,8 G 6,,,in-8,"DIGOT, Aug.",Histoire du royaume d'Austrasie (tome troisième),1863,,moyen,contient 38 documents
7032,4,14,4,8 G 7,,,in-8,anonyme,Défense de l'antiquité de la ville et du siège épiscopal de Toul,1702,,bon,
7033,4,14,4,8 G 8,,,in-8,anonyme,L'origine de la très illustre maison de Lorraine,1704,,bon,
7034,4,14,4,8 G 8,,,in-8,anonyme,L'origine de la très illustre maison de Lorraine,1704,,bon,
7035,4,14,4,8 G 9,,,in-8,anonyme,Traité historique et critique sur l'origine et la généalogie de la maison de Lorraine,1711,,bon,
7036,4,14,4,8 G 9,,,in-8,anonyme,Traité historique et critique sur l'origine et la généalogie de la maison de Lorraine,1711,,bon,
7037,4,14,4,8 G 10,,,in-12,"DE RIGUET, abbé","Sisteme chronologique, historique des évêques de Toul",1701,,bon,
7038,4,14,4,8 G 11,,,in-12,"DE FORTIA, marquis",Histoire des Lorrains,1838,,bon,
7039,4,14,4,8 G 12,,,in-12,"DE VILLENEUVE BARGEMONT, F. L.",Histoire de René d'Anjou (tome premier),1825,,bon,
7040,4,14,4,8 G 12,,,in-12,"DE VILLENEUVE BARGEMONT, F. L.",Histoire de René d'Anjou (tome deuxième),1825,,bon,
7041,4,14,4,8 G 12,,,in-12,"DE VILLENEUVE BARGEMONT, F. L.",Histoire de René d'Anjou (tome troisième),1825,,bon,
7042,4,14,4,8 G 13,,,in-12,"HUGUENIN, jeune",Histoire de la guerre de Lorraine et siège de Nancy,1837,,bon,
7043,4,14,4,8 G 14,,,in-8,,Chronique de Donnure (???),,,bon,(sorti)
7044,4,14,4,8 G 15,,,in-8,"LACOMBE, Ferdinand de",Le siège et la bataille de Nancy,1860,,bon,
7045,4,14,4,8 G 16,,,in-8,"DE LACOMBE, Ferdinand",Le siège et la bataille de Nancy,1858,,bon,
7046,4,14,4,8 G 17,,,in-8,"HUGUENIN, jeune",Brunechild et les austrasiens,1834,,bon,
7047,4,14,4,8 G 18,,,in-8,DELANOUE-CORDELLIER,René d'Anjou,1851,,bon,
7048,4,14,4,8 G 19,,,in-8,"DE PANGE, comte",Le patriotisme français en Lorrain,1889,,bon,
7049,4,14,4,8 G 20,,,in-8,anonyme,Supplement à l'histoire de la maison de Lorraine imprimée à Toul en 1704 (première partie),1712,,bon,
7050,4,14,4,8 G 21,,,in-8,anonyme,Replique aux deux lettres qui servent d'apologie sur l'origine de la Maison de Lorraine (tome II),1713,,bon,
7051,4,14,4,8 G 22,,,in-8,anonyme,Arrest du parlement de Paris donné et rendu à la requeste du procureur général du roy,1634,,bon,
7052,4,14,4,8 G 23,,,in-12,anonyme,"La guerre de René II, duc de Lorraine contre Charles Hadry, duc de Bourgogne",1743,,bon,
7053,4,14,5,8 G 24,,,in-8,anonyme,"Reflexion sur deux ouvrages nouvellement imprimez, concernans l'histoire de la maison de Lorraine",s.d.,,bon,
7054,4,14,5,8 G 25,,,<in-12,"DE SMYTTERE, P. J. E.",Les ducs de bar ,1884,,bon,
7055,4,14,5,8 G 25,,,in-8,"GROSDIDIER DE MATONS, Marcel",Le comté de Bar des origines au traité de Bruges,1922,,bon,
7056,4,14,5,8 G 26,,,<in-12,"CLOUËT, abbé",Histoire de Verdun (tome I),1867,,bon,
7057,4,14,5,8 G 26,,,<in-12,"CLOUËT, abbé",Histoire de Verdun (tome II),1868,,bon,
7058,4,14,5,8 G 26,,,<in-12,"CLOUËT, abbé",Histoire de Verdun (tome III),1870,,bon,
7059,4,14,5,8 G 26,,,in-4,collectif,L'intendance de Lorraine et du Barrois à la fin du XVIIe siècle,2006,,bon,
7060,4,14,5,8 G 26,,,in-8,"CLOUËT, abbé",Histoire de Verdun (tome I),1867,,bon,
7061,4,14,5,8 G 26,,,in-8,"CLOUËT, abbé",Histoire de Verdun (tome II),1868,,bon,
7062,4,14,5,8 G 26,,,in-8,"CLOUËT, abbé",Histoire de Verdun (tome III),1870,,bon,
7063,4,14,5,8 G 26,,,in-8,"CLOUËT, abbé",Histoire de Verdun (tome I),1867,,bon,
7064,4,14,5,8 G 27,,,<in-12,"SERVAIS, Victor",Annales historiques du barrois,1865,,bon,
7065,4,14,5,8 G 27,,,in-8,"SERVAIS, Victor",Annales historiques du barrois (II),1867,,bon,
7066,4,14,5,8 G 28,,,in-8,JEANTIN,Les chroniques de l'ardenne et des Woëpvres (tome I),1851,,bon,
7067,4,14,5,8 G 28,,,in-8,JEANTIN,Les chroniques de l'ardenne et des Woëpvres (tome II),1852,,bon,
7068,4,14,5,8 G 29,,,in-8,"GERMAIN, Léon","René II, duc de Lorraine et le comte de Guise",1888,,bon,
7069,4,14,5,8 G 29,,,in-8,"GERMAIN, Léon","René II, duc de Lorraine et le comte de Guise",1888,,bon,
7070,4,14,5,8 G 30,,,in-8,"CLOUET et CLOUËT, abbé",Histoire de Verdun,1838,,bon,
7071,4,14,5,8 G 31,1,,in-8,BENOIT Arthur,Les écorcheurs dans le val de Vaxy 1443,s.d.,,bon,contient 35 documents 
7072,4,14,5,8 G 31,2,,in-8,BOSSU Louis,Les Gascons d'Armagnac au secours du duc René,1927,,bon,contient 35 documents 
7073,4,14,5,8 G 31,3,,in-8,Pognon abbé,Episode de l'invasion des Normands en Champagne et en Lorraine Bataille de Montfaucon,1889,,bon,contient 35 documents 
7074,4,14,5,8 G 31,4,,in-8,Boulangé G.,Recherches sur les sépultures des premiers ducs de la maison de Morraine,1854,,bon,contient 35 documents 
7075,4,14,5,8 G 31,5,,in-8,PARISOT Robert,De la cession faite à Louis d'Outremer par Otton Ier,1906,,bon,contient 35 documents 
7076,4,14,5,8 G 31,6,,in-8,PARISOT Robert,Les origines du rotaume franc de Lorraine,1903,,bon,contient 35 documents 
7077,4,14,5,8 G 31,7,,in-8,Martin Eugène abbé,Quelques observations sur le catalogue des évêques de Toul,1893,,bon,contient 35 documents 
7078,4,14,5,8 G 31,8,,in-8,Beugnet abbé,Les manuscrits connus des Gesta episcoporum Tullensium,1897,,bon,contient 35 documents 
7079,4,14,5,8 G 31,9,,in-8,Guillaume abbé,Nouvelle dissertation sur l'antiquité de l'église de Toul,1869,,bon,contient 35 documents 
7080,4,14,5,8 G 31,10,,in-8,"PFISTER, Christian",Le bullaire de l'église de Toul,1913,,bon,contient 35 documents 
7081,4,14,5,8 G 31,11,,in-8,Besnard Joseph,Le mariage de Marguerite de Lorraine et de René Ier duc d'Alençon,1929,,bon,contient 35 documents 
7082,4,14,5,8 G 31,12,,in-8,"PFISTER, Christian",La bataille de Nancy 1477 conférence le 27 novembre 1892,1892,,bon,contient 35 documents 
7083,4,14,5,8 G 31,13,,in-8,GERMAIN DE MAIDY Léon,Une pièce ancienne de poésie française sur la bataille de Nancy,s.d.,,bon,contient 35 documents 
7084,4,14,5,8 G 31,14,,in-8,Baillard,La délivrance de Nancy par le duc René II - poème,1824,,bon,contient 35 documents 
7085,4,14,5,8 G 31,15,,in-8,GERMAIN DE MAIDY Léon,Chartes du XIIIe siècle aux archives de Meurthe-et-Moselle,1896,,bon,contient 35 documents 
7086,4,14,5,8 G 31,16,,in-8,Collignon Albert,Note sur les monuments l'iconographie et les légendes de la bataille de Nancy,1899,,bon,contient 35 documents 
7087,4,14,5,8 G 31,17,,in-8,Schaudel Louis,Campagne de Charles VI en 1388 contre le duché de Gueldre,1900,,bon,contient 35 documents 
7088,4,14,5,8 G 31,18,,in-8,Levallois H.,Recherches à propos d'une liste des vassaux de Bar de l'an 1311,1901,,bon,contient 35 documents 
7089,4,14,5,8 G 31,19,,in-8,Courteault,Quatre lettres inédites de Louis XI,1921,,bon,contient 35 documents 
7090,4,14,5,8 G 31,20,,in-8,Marichal Paul ,Note sur le lieu de naissance de René II,1890,,bon,contient 35 documents 
7091,4,14,5,8 G 31,21,,in-8,GERMAIN DE MAIDY Léon,Observations relatives à Thiébaut 1er comte de Bar (1192-1214),1902,,bon,contient 35 documents 
7092,4,14,5,8 G 31,22,,in-8,anonyme,Vie du duc René II imprimé à Saint-Dié en 1510,1875,,bon,contient 35 documents 
7093,4,14,5,8 G 31,23,,in-8,Lepage Henri,Dialogue de Joannes Lud.,1854,,bon,contient 35 documents 
7094,4,14,5,8 G 31,24,,in-8,DUVERNOY Emile,Catalogue de Ricuin évêque de Toul,1919,,bon,contient 35 documents 
7095,4,14,5,8 G 31,25,,in-8,Marichal Paul ,René II duc de Lorraine et les possessions de la maison d'Anjou dans le Maine,1909,,bon,contient 35 documents 
7096,4,14,5,8 G 31,26,,in-8,Leclerc,Rapport sur l'histoire du royaume mérovingien d'Astrasie par Alexandre Huguenin,1863,,bon,contient 35 documents 
7097,4,14,5,8 G 31,27,,in-8,Boureulle de,Souvenirs Lorrains et Champenois du Moyen Age,1880,,bon,contient 35 documents 
7098,4,14,5,8 G 31,28,,in-8,Pange Jean de,Introduction au catalogue des actes de Ferri III,1902,,bon,contient 35 documents 
7099,4,14,5,8 G 31,29,,in-8,Florange J.,La guerre de Trente ans en Lorraine,1935,,bon,contient 35 documents 
7100,4,14,5,8 G 31,30,,in-8,anonyme,Le sergent d'Arches - Un dicton populaire ,s.d.,,bon,contient 35 documents 
7101,4,14,5,8 G 31,31,,in-8,"TOUSSAINT, Maurice",Le territoire et les limites de la civitas leucorum,1946,,bon,contient 35 documents 
7102,4,14,5,8 G 31,32,,in-8,Denaix Jean Abbé,Recherches sur les relations de Saint Bernard avec l'église de Verdun,1947,,bon,contient 35 documents 
7103,4,14,5,8 G 31,33,,in-8,Arbois de Jubainville Henri de,Quelques Pagi de la première Belgique,1852,,bon,contient 35 documents 
7104,4,14,5,8 G 31,34,,in-8,"PFISTER, Christian",Chartes antérieures au XIVe siècle de la bibliothèque publique de Nancy,1899,,bon,contient 35 documents 
7105,4,14,5,8 G 31,35,,in-8,BENOIT Arthur,Les écorcheurs dans le val de Vaxy 1443,s.d.,,bon,contient 35 documents 
7106,4,14,5,8 G 31,36,,in-8,anonyme,Les origines de l'église de Toul - l'œuvre d'Adson,s.d.,,bon,contient 35 documents 
7107,4,14,5,8 G 32,,,in-8,"DUHAMEL, L.",Le pape Léon IX et les monastères de Lorraine,1869,,bon,
7108,4,14,5,8 G 33,,,in-8,école nationale des Chartes,Positions des thèses ,1902,,mauvais,
7109,4,14,5,8 G 34,,,in-8,"DE PANGE, Maurice",Les Lorrains et la France au Moyen-Age,s.d.,,bon,
7110,4,14,5,8 G 35,,,in-8,"CHERRIER, chanoine",Le roi René en Lorraine,1895,,moyen,
7111,4,14,5,8 G 36,,,in-8,"TOUSSAINT, Maurice",La Lorraine à l'époque gallo-romaine,1928,,bon,
7112,4,14,5,8 G 36,,,in-8,"DE MAHUET, Comte",La chasse en lorraine,1931,,bon,
7113,4,14,5,8 G 37,,,in-8,"DUVERNOY, Emile",Catalogue des actes des ducs de Lorraine,1915,,bon,
7114,4,14,5,8 G 38,,,in-8,"BAUDOT, Jules",Les princesses Yolande et les ducs de Bar de la famille des Valois,1900,,bon,
7115,4,14,5,8 G 38,,,in-8,"NOGRET, Jean-Yves & VITZTHUM Stéphane",Guide complet des papillons de jour de Lorraine et d'Alsace,1975,,mauvais,
7116,4,14,5,8 G 39,,,in-8,"GROSDIDIER DE MATONS, Marcel",Le comté de Bar des origines au traité de Bruges,1922,,bon,
7117,4,14,5,8 G 39,,,in-4,"GABRIEL, abbé","Louis XVI, le marquis de Bouillé et Varennes",1874,,bon,
7118,4,14,5,8 G 40,,,in-8,"GROSDIDIER DE MATONS, Marcel",Catalogue des actes des comtes de Bar,1922,,bon,
7119,4,14,5,8 G 41,,,in-8,"DUVERNOY, Emile",Etude sur la chronique de Lorraine,1927,,bon,
7120,4,14,5,8 G 42,,,in-8,"PARISOT, Robert",Les origines de la Haute-Lorraine et sa première maison ducale,1909,,bon,
7121,4,14,5,8 G 43,,,in-8,"BOYE, Pierre",Le butin de Nancy,1905,,bon,
7122,4,14,5,8 G 44,,,in-8,"DUVERNOY, Emile",Le duc de Lorraine Mathieu Ier,1904,,mauvais,
7123,4,14,5,8 G 45,,,in-8,"PARISOT, Robert",De prima domo quae superioris Lotharingiae ducatum quasi héréditario jure tenuit,1898,,bon,"1,17 m "
7124,4,14,5,8 G 46,,,in-8,"PARISOT, Robert",Le royaume de Lorraine sous les carolingiens,1898,,bon,
7125,4,14,5,8 G 47,,,in-8,"DE BUSSIERE, Marie-Théodore",Histoire de la ligue formée contre Charles le Téméraire,1845,,bon,
7126,4,14,5,8 G 48,,,in-8,anonyme,"De la prison de Ferry III, dit le chauve, duc de Lorraine dans la tour de Maxéville",1839,,bon,
7127,4,14,5,8 G 49,,,in-8,collectif,"Recueil de lettre critiques sur l'histoire de St Sigisbert XII, roy d'austrasie ",1702,,moyen,
7128,4,14,5,8 G 50,,,in-8,"DE PANGE, Jean",Introduction au catalogue des actes de Ferri III,1905,,bon,
7129,4,14,5,8 G 51,,,in-8,"FRANCOIS, Michel",Histoire des comtes et du comté de Vaudémont,1935,,bon,
7130,4,14,5,8 G 51,,,in-4,MATHIEU Abbé,Une victime de la révolution en Lorraien Charlotte de Rutant,1889,,moyen,
7131,4,14,5,8 G 52,,,in-8,"MAROT, Pierre",Recherches sur les pompes funèbres des ducs de Lorraine,1935,,moyen,
7132,4,14,5,8 G 53,,,in-8,anonyme,La bataille de Nancy 1477,s.d.,,bon,
7133,4,14,5,8 G 54,,,<in-12,JEANTIN,Histoire du comté de Chiny et des pays Haut-Wallons (tome premier),1858,,bon,
7134,4,14,6,8 G 54,,,in-8,JEANTIN,Histoire du comté de Chiny et des pays Haut-Wallons (tome second),1859,,bon,
7135,4,14,6,8 G 55,,,in-8,,[reliure de documents] Bataille de Nancy,,,bon,
7136,4,14,6,8 G 56,,,in-8,,[reliure de documents] Bataille de Nancy et obsèques de Charles le Téméraire,,,bon,
7137,4,14,6,8 G 57,,,in-8,"BERLET, A.",Charles le Téméraire et René de Lorraine,1892,,bon,
7138,4,14,6,8 G 58,,,in-8,,[reliure de documents] Emprisonnement de Ferry III,,,bon,
7139,4,14,6,8 G 59,,,in-8,"PANGE, Jean de",Introduction au catalogue des actes de Ferri III,1905,,bon,
7140,4,14,6,8 G 60,1,,in-8,Bouillon E.,Un menhir inconnu aux Paroches pès de Saint-Mihiel,1935,,bon,contient 39 documents 
7141,4,14,6,8 G 60,2,,in-8,Bouillon E.,Le menhir de Woinville canton de Saint-Mihiel,1936,,bon,contient 39 documents 
7142,4,14,6,8 G 60,3,,in-8,Bouillon E.,"Les ""Pierres levées"" du plateau de Montplonne (Meuse)",1937,,bon,contient 39 documents 
7143,4,14,6,8 G 60,4,,in-8,Bouillon E.,Quelques Haches-marteaux inédites essai sur les trouvailles en Lorraine,1938,,bon,contient 39 documents 
7144,4,14,6,8 G 60,5,,in-8,Bouillon E.,Quelques pièce néolithiques inédites,1933,,bon,contient 39 documents 
7145,4,14,6,8 G 60,6,,in-8,"CHOUX, Jacques",Caveau funéraire d'époqueromane à Grand-Fally,1961,,bon,contient 39 documents 
7146,4,14,6,8 G 60,7,,in-8,"CHOUX, Jacques",Fouille d'une villa gallo-romaine à Seranville,1962,,bon,contient 39 documents 
7147,4,14,6,8 G 60,8,,in-8,"CHOUX, Jacques","Aux orugines de l'église de Toul, discours de réception à l'académie Stanislas",1960,,bon,contient 39 documents 
7148,4,14,6,8 G 60,9,,in-8,"CHOUX, Jacques",Monnaie inédite de l'évêque de Toul Pibon (1069-1107),1961,,bon,contient 39 documents 
7149,4,14,6,8 G 60,10,,in-8,"CHOUX, Jacques",Le fonctionnement d'un petit atelier monétaire au Moyen-Age : la monnaie de Toul,1961,,bon,contient 39 documents 
7150,4,14,6,8 G 60,11,,in-8,"DES ROBERT, E.",Les sceaux laïcs du XIIe siècle aux archives de Meurthe et Moselle,1952,,bon,contient 39 documents 
7151,4,14,6,8 G 60,12,,in-8,Le Baron de Baye,Note sur des bijoux barbares en forme de mouches,1895,,bon,contient 39 documents 
7152,4,14,6,8 G 60,13,,in-8,Jadot Jean ,Les croix de distinction des chanoines du chapitre de la cathédrale de Tournai,1950,,bon,contient 39 documents 
7153,4,14,6,8 G 60,14,,in-8,Lieger Abel & Pomarède Fr.,Découverte de deux sépultures de la Tène I à Nançois-sur-Ornain (Meuse),1961,,bon,contient 39 documents 
7154,4,14,6,8 G 60,15,,in-8,"CHOUX, Jacques",Décadence et réforme monastique dans la province de Trèves (855-959),1960,,bon,contient 39 documents 
7155,4,14,6,8 G 60,16,,in-8,Vidal Pierre,Dignités héréditaires de Prince du Saint-Empire et de Porte-Etendard de l'empereur attachées au marquisat de Pont-à-Mousson,1914,,bon,contient 39 documents 
7156,4,14,6,8 G 60,17,,in-8,Parisse Michel,Bullaire de Lorraine jusqu'à 1198,1969,,bon,contient 39 documents 
7157,4,14,6,8 G 60,18,,in-8,Parisse Michel,Le nécrologe de Gorze,1971,,bon,contient 39 documents 
7158,4,14,6,8 G 60,19,,in-8,Moulin de D.,De Heelkunde in de vroege Middeleeuwen,1964,,bon,contient 39 documents 
7159,4,14,6,8 G 60,20,,in-8,Parisse Michel,A propos du prieuré de Pfeddersheim un diplôme inédit de Frédéric Barberousse pour l'abbaye de Gorze,1976,,bon,contient 39 documents 
7160,4,14,6,8 G 60,21,,in-8,Parisse Michel,Les ducs et le duchés de Lorraine au XIIe siècle (1048-1206),1975,,bon,contient 39 documents 
7161,4,14,6,8 G 60,22,,in-8,Parisse Michel,La réforme ecclésiastique aux Xie et XIIe siècles aux réunions de Mendola (1959-1968),1968,,bon,contient 39 documents 
7162,4,14,6,8 G 60,23,,in-8,Parisse Michel,Saint-Denis et ses biens enLorraine et en Alsace,1969,,bon,contient 39 documents 
7163,4,14,6,8 G 60,24,,in-8,Parisse Michel,La fondation de l'abbaye de Mouzon en 971,1972,,bon,contient 39 documents 
7164,4,14,6,8 G 60,25,,in-8,Parisse Michel,La vie religieuse en Lorraine au Xie siècle,1971,,bon,contient 39 documents 
7165,4,14,6,8 G 60,26,,in-8,Parisse Michel,Les princiers messins au XIIe siècle,1971,,bon,contient 39 documents 
7166,4,14,6,8 G 60,27,,in-8,Parisse Michel,Recherches allemandes sur la Lorraine médiévale,1977,,bon,contient 39 documents 
7167,4,14,6,8 G 60,28,,in-8,Parisse Michel,Les chartes des évêques de Metz au XIIe siècle étude diplomatique et paléographique,1976,,bon,contient 39 documents 
7168,4,14,6,8 G 60,29,,in-8,Schneider Jean,Chambre l'empereur - Camera imperii Jalons pour la reprise d'une enquëte,1985,,bon,contient 39 documents 
7169,4,14,6,8 G 60,30,,in-8,Estiot Sylviane & Delestre Xavier,5860 monnaies romaines de Troussey,1992,,bon,contient 39 documents 
7170,4,14,6,8 G 60,31,,in-8,Lagadec Jean-Paul,Les habitats fortifiés celtiques autour de Nancy,1997,,bon,contient 39 documents 
7171,4,14,6,8 G 60,32,,in-8,Marot Pierre,Le catalogue des actes des comtes de Bar,1925,,bon,contient 39 documents 
7172,4,14,6,8 G 60,33,,in-8,Marot Pierre,L'obituaire de Varangéville,1925,,bon,contient 39 documents 
7173,4,14,6,8 G 60,34,,in-8,Marot Pierre,"Identifications de quelques partenaires et juges des ""unica"" des jeux-partis du chansonnier d'Oxford",1927,,bon,contient 39 documents 
7174,4,14,6,8 G 60,35,,in-8,Marot Pierre,Inscriptions funéraires de l'église des Cordeliers de Neufchâteau,1921,,bon,contient 39 documents 
7175,4,14,6,8 G 60,36,,in-8,Marot Pierre,L'expédition de Charles VII à Metz (1444-1445),1942,,bon,contient 39 documents 
7176,4,14,6,8 G 60,37,,in-8,Marot Marthe,La chronique dite du doyen de Saint-Thiebaut de Metz (1231-1445),1926,,bon,contient 39 documents 
7177,4,14,6,8 G 60,38,,in-8,Marot Pierre,Pierre Marot titres et travaux,1957,,bon,contient 39 documents 
7178,4,14,6,8 G 60,39,,in-8,Marot Pierre,Leçon d'ouverture du cours de bibliographie et archives à l'Ecole des Chartes,1942,,bon,contient 39 documents 
7179,4,14,6,8 G 60,40,,in-8,Collot Gérard,De la fin du monde antique à l'an mil,1992,,bon,contient 39 documents 
7180,4,14,6,8 G 61,,,in-8,"DE CURZON, Henri",La règle du temple,1886,,bon,
7181,4,14,6,8 G 62,,,in-8,"MEYER, Paul",La chanson de la croisade contre les albigeois,1875,,bon,
7182,4,14,6,8 G 63,,,in-8,"KURTH, Godefroid",L'église aux tournants de l'histoire,1900,,mauvais,
7183,4,14,6,8 G 64,,,in-8,"PROU, Maurice",Manuel de paléographie latine et française,1892,,bon,
7184,4,14,6,8 G 65,,,in-8,"STAHL, Alan M.",The merovingian coinage of the region of Metz,1982,,bon,
7185,4,14,6,8 G 66,,,in-8,"CHOUX, Jacques",La lorraine chértienne au Moyen Age,1981,,bon,
7186,4,14,6,8 G 67,,,in-8,"COLLIN, Hubert",Les églises romanes de Lorraine,1981,,bon,
7187,4,14,6,8 G 67,,,in-12,"COLLIN, Hubert",Les églises romanes de Lorraine,1981,,bon,
7188,4,14,6,8 G 67,,,in-8,"COLLIN, Hubert",Les églises romanes de Lorraine (tome II),1983,,bon,
7189,4,14,6,8 G 67,,,in-8,"COLLIN, Hubert",Les églises romanes de Lorraine (tome III),1984,,bon,
7190,4,14,6,8 G 67,,,in-8,"COLLIN, Hubert",Les églises romanes de Lorraine (tome IV),1986,,bon,
7191,4,14,6,8 G 68,,,in-8,"PARISSE, Michel (dir.)",Des miracles en Lorraine,1979,,bon,
7192,4,14,6,8 G 69,,,in-8,"MAGUIN, Martine",La vigne et le vin en Lorraine,1982,,bon,
7193,4,14,6,8 G 70,,,in-8,"SCHNEIDER, Jean",Lorraine et Bourgogne,1982,,bon,
7194,4,14,6,8 G 71,,,in-8,"VIGNERON, Bernard","Divodurum Mediomatricorum, Metz antique",1986,,bon,
7195,4,14,6,8 G 72,,,in-8,"SCHAUB, Jean et PETIT, Jean-Paul",Dans l'antiquité Bliesbruck en Moselle,1984,,bon,
7196,4,14,6,8 G 73,,,in-8,DRAC Lorraine,"La lorraine antique, villes et villages",1990,,bon,
7197,4,14,6,8 G 74,,,in-8,"OLLAND, Hélène",La baronne de Choiseul à la fin du Moyen Age,1980,,bon,
7198,4,14,6,8 G 75,,,in-8,"NERLINGER, Ch.",Pierre de Hagenbach et la domination bourguignonne en Alsace,1890,,bon,
7199,4,14,6,8 G 76,,,in-8,Section fédérée de Lorraine de l'association générale des conservateurs des collections publiques de France,La lorraine d'avant l'histoire,1986,,mauvais,
7200,4,14,6,8 G 77,,,in-8,"CHOUX, Jacques",L'épiscopat de Pibon,1952,,bon,
7201,4,14,6,8 G 78,,,in-8,"POISONNIER, Gilles",Catalogue des actes de la maison de Choiseul,1990,,bon,
7202,4,14,6,8 G 79,,,in-12,"SCHNERB, Bertrand",Bulgnéville,1993,,bon,
7203,4,14,6,8 G 80,,,in-8,"DEMAROLLE, Pierre",La chronique de Philippe de Vigneulles et la mémoire de Metz,1993,,bon,
7204,4,14,6,8 G 81,,,in-8,"ROBIN, Françoise (dir.)",Marguerite de Lorraine et son temps,1989,,bon,
7205,4,14,6,8 G 82,,,in-12,"HENRY, Michel",Itinéraires templiers en Lorraine,1996,,bon,
7206,4,14,6,8 G 83,,,in-8,"MAZERAND, Michel",Les templier en Lorraine,1993,,bon,
7207,4,14,6,8 G 84,,,in-8,"PARISSE, Michel et OEXLE, Otto Gerhard",L'abbaye de Gorze au Xè siècle,1993,,bon,
7208,4,14,6,8 G 85,,,in-12,"DE SAINT-ARNOUL, Jean","La vie de Jean, abbé de Gorze",1999,,bon,
7209,4,14,6,8 G 86,,,in-8,"MIQUEL, Maryvonne",Les groseilles de Vaudémont,1997,,bon,
7210,4,14,6,8 G 87,,,in-8,"WILLINGER, Patrick",Pierres sacrées des Vosges,1999,,bon,
7211,4,14,6,8 G 88,,,in-12,collectif,Le pouvoir et les libertés en Lotharingie médiévales,1994,,bon,
7212,4,14,6,8 G 89,,,in-8,"THIL, Adolphe",La saga des derniers celtes,2000,,bon,
7213,4,14,6,8 G 90,,,in-8,Rheinischen Landesmuseums Trier,Funde und Ausgrabungen im Bezirk Trier,1999,,bon,
7214,4,14,6,8 G 91,,,in-8,"POTH, Joseph",Le retour du centurion,2001,,bon,
7215,4,14,6,8 G 92,,,in-8,académie des inscriptions et des belles-lettres,Hommage de l'académie des inscriptions et des belles-lettres à Jean Schneider,2003,,bon,
7216,4,14,6,8 G 92,,,in-4,"MAROT, Pierre",Une gravure emblématique de Jacques Callot le portrait de Charles Delorme,1954,,bon,
7217,4,14,6,8 G 93,,,in-8,"MAROT, Pierre",La Lorraine et la mort,1991,,bon,"1,12 m"
7218,4,15,1,8 H 1,,,in-8,Anonyme,Relation de la pompe funèbre faite à Nancy le 7e jour de Juin 1729,1730,,,
7219,4,15,1,8 H 2,,,in-8,"MATHIEU, D.","L'ancien régime dans la province de Lorraine et Barrois, d'après des documents inédits",1879,,bon,
7220,4,15,1,8 H 2,,,in-8,"MATHIEU, D.","L'ancien régime dans la province de Lorraine et Barrois, d'après des documents inédits",1878,,mauvais,
7221,4,15,1,8 H 2,,,in-8,"MATHIEU, D.","L'ancien régime dans la province de Lorraine et Barrois, d'après des documents inédits",1879,,mauvais,
7222,4,15,1,8 H 3,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome premier),1854,,mauvais,
7223,4,15,1,8 H 3,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome deuxième),1856,,bon,
7224,4,15,1,8 H 3,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome troisième),1857,,bon,
7225,4,15,1,8 H 3,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome quatrième),1859,,,[sorti]
7226,4,15,1,8 H 4,,,in-8,[?],Consvltatio facvltatis ivridicae vniversitatis ingoldstadiensis,1588 [?],,bon,
7227,4,15,1,8 H 4,,,in-8,[?],Consvltatio facvltatis ivridicae vniversitatis ingoldstadiensis,1588 [?],,bon,
7228,4,15,1,8 H 5,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome premier),1860,,bon,
7229,4,15,1,8 H 5,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome deuxième),1860,,bon,
7230,4,15,1,8 H 5,,,,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome troisième),1860,,bon,
7231,4,15,1,8 H 5,,,in-8,"D'HAUSSONVILLE, (Cte)",Histoire de la réunion de la Lorraine à la France (tome quatrième),1860,,bon,
7232,4,15,1,8 H 5,,,in-12,Anonyme,Variétés littéraires T1 (Fer collège royale),1768,,bon ,
7233,4,15,1,8 H 5,,,in-12,GREGOIRE Abbé,Manuel de prières à l'usage des hommes de couleur et des noirs (Wiener),1818,,bon,
